stem,path,mother
P1179__1024__3296___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__3296___1648.png,P1179
P1179__1024__3296___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__3296___2472.png,P1179
P1179__1024__3296___3296,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__3296___3296.png,P1179
P1179__1024__3296___4120,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__3296___4120.png,P1179
P1179__1024__3296___4944,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__3296___4944.png,P1179
P1179__1024__3296___5484,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__3296___5484.png,P1179
P1179__1024__3296___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__3296___824.png,P1179
P1179__1024__4120___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__4120___0.png,P1179
P1179__1024__4120___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__4120___1648.png,P1179
P1179__1024__4120___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__4120___2472.png,P1179
P1179__1024__4120___3296,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__4120___3296.png,P1179
P1179__1024__4120___4120,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__4120___4120.png,P1179
P1179__1024__4120___4944,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__4120___4944.png,P1179
P1179__1024__4120___5484,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__4120___5484.png,P1179
P1179__1024__4120___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__4120___824.png,P1179
P1179__1024__4944___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__4944___0.png,P1179
P1179__1024__4944___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__4944___1648.png,P1179
P1179__1024__4944___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__4944___2472.png,P1179
P1179__1024__4944___3296,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__4944___3296.png,P1179
P1179__1024__4944___4120,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__4944___4120.png,P1179
P1179__1024__4944___4944,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__4944___4944.png,P1179
P1179__1024__4944___5484,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__4944___5484.png,P1179
P1179__1024__4944___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__4944___824.png,P1179
P1179__1024__5611___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__5611___0.png,P1179
P1179__1024__5611___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__5611___1648.png,P1179
P1179__1024__5611___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__5611___2472.png,P1179
P1179__1024__5611___3296,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__5611___3296.png,P1179
P1179__1024__5611___4120,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__5611___4120.png,P1179
P1179__1024__5611___4944,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__5611___4944.png,P1179
P1179__1024__5611___5484,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__5611___5484.png,P1179
P1179__1024__5611___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__5611___824.png,P1179
P1179__1024__824___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__824___0.png,P1179
P1179__1024__824___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__824___1648.png,P1179
P1179__1024__824___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__824___2472.png,P1179
P1179__1024__824___3296,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__824___3296.png,P1179
P1179__1024__824___4120,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__824___4120.png,P1179
P1179__1024__824___4944,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__824___4944.png,P1179
P1179__1024__824___5484,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__824___5484.png,P1179
P1179__1024__824___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1179__1024__824___824.png,P1179
P1184__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1184__1024__0___0.png,P1184
P1184__1024__0___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1184__1024__0___1648.png,P1184
P1184__1024__0___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1184__1024__0___2472.png,P1184
P1184__1024__0___3296,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1184__1024__0___3296.png,P1184
P1184__1024__0___4120,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1184__1024__0___4120.png,P1184
P1184__1024__0___4944,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1184__1024__0___4944.png,P1184
P1184__1024__0___5200,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1184__1024__0___5200.png,P1184
P1184__1024__0___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1184__1024__0___824.png,P1184
P1184__1024__1570___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1184__1024__1570___0.png,P1184
P1184__1024__1570___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1184__1024__1570___1648.png,P1184
P1184__1024__1570___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1184__1024__1570___2472.png,P1184
P1184__1024__1570___3296,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1184__1024__1570___3296.png,P1184
P1184__1024__1570___4120,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1184__1024__1570___4120.png,P1184
P1184__1024__1570___4944,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1184__1024__1570___4944.png,P1184
P1184__1024__1570___5200,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1184__1024__1570___5200.png,P1184
P1184__1024__1570___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1184__1024__1570___824.png,P1184
P1184__1024__824___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1184__1024__824___0.png,P1184
P1184__1024__824___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1184__1024__824___1648.png,P1184
P1184__1024__824___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1184__1024__824___2472.png,P1184
P1184__1024__824___3296,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1184__1024__824___3296.png,P1184
P1184__1024__824___4120,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1184__1024__824___4120.png,P1184
P1184__1024__824___4944,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1184__1024__824___4944.png,P1184
P1184__1024__824___5200,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1184__1024__824___5200.png,P1184
P1184__1024__824___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1184__1024__824___824.png,P1184
P1189__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1189__1024__0___0.png,P1189
P1210__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1210__1024__0___0.png,P1210
P1210__1024__0___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1210__1024__0___1648.png,P1210
P1210__1024__0___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1210__1024__0___2472.png,P1210
P1210__1024__0___2976,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1210__1024__0___2976.png,P1210
P1210__1024__0___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1210__1024__0___824.png,P1210
P1210__1024__1648___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1210__1024__1648___0.png,P1210
P1210__1024__1648___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1210__1024__1648___1648.png,P1210
P1210__1024__1648___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1210__1024__1648___2472.png,P1210
P1210__1024__1648___2976,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1210__1024__1648___2976.png,P1210
P1210__1024__1648___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1210__1024__1648___824.png,P1210
P1210__1024__2472___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1210__1024__2472___0.png,P1210
P1210__1024__2472___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1210__1024__2472___1648.png,P1210
P1210__1024__2472___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1210__1024__2472___2472.png,P1210
P1210__1024__2472___2976,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1210__1024__2472___2976.png,P1210
P1210__1024__2472___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1210__1024__2472___824.png,P1210
P1210__1024__2976___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1210__1024__2976___0.png,P1210
P1210__1024__2976___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1210__1024__2976___1648.png,P1210
P1210__1024__2976___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1210__1024__2976___2472.png,P1210
P1210__1024__2976___2976,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1210__1024__2976___2976.png,P1210
P1210__1024__2976___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1210__1024__2976___824.png,P1210
P1210__1024__824___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1210__1024__824___0.png,P1210
P1210__1024__824___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1210__1024__824___1648.png,P1210
P1210__1024__824___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1210__1024__824___2472.png,P1210
P1210__1024__824___2976,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1210__1024__824___2976.png,P1210
P1210__1024__824___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1210__1024__824___824.png,P1210
P1212__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1212__1024__0___0.png,P1212
P1212__1024__0___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1212__1024__0___1648.png,P1212
P1212__1024__0___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1212__1024__0___2472.png,P1212
P1212__1024__0___2976,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1212__1024__0___2976.png,P1212
P1212__1024__0___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1212__1024__0___824.png,P1212
P1212__1024__1648___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1212__1024__1648___0.png,P1212
P1212__1024__1648___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1212__1024__1648___1648.png,P1212
P1212__1024__1648___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1212__1024__1648___2472.png,P1212
P1212__1024__1648___2976,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1212__1024__1648___2976.png,P1212
P1212__1024__1648___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1212__1024__1648___824.png,P1212
P1212__1024__2472___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1212__1024__2472___0.png,P1212
P1212__1024__2472___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1212__1024__2472___1648.png,P1212
P1212__1024__2472___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1212__1024__2472___2472.png,P1212
P1212__1024__2472___2976,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1212__1024__2472___2976.png,P1212
P1212__1024__2472___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1212__1024__2472___824.png,P1212
P1212__1024__2976___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1212__1024__2976___0.png,P1212
P1212__1024__2976___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1212__1024__2976___1648.png,P1212
P1212__1024__2976___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1212__1024__2976___2472.png,P1212
P1212__1024__2976___2976,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1212__1024__2976___2976.png,P1212
P1212__1024__2976___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1212__1024__2976___824.png,P1212
P1212__1024__824___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1212__1024__824___0.png,P1212
P1212__1024__824___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1212__1024__824___1648.png,P1212
P1212__1024__824___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1212__1024__824___2472.png,P1212
P1212__1024__824___2976,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1212__1024__824___2976.png,P1212
P1212__1024__824___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1212__1024__824___824.png,P1212
P1213__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1213__1024__0___0.png,P1213
P1213__1024__0___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1213__1024__0___1648.png,P1213
P1213__1024__0___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1213__1024__0___2472.png,P1213
P1213__1024__0___2976,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1213__1024__0___2976.png,P1213
P1213__1024__0___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1213__1024__0___824.png,P1213
P1213__1024__1648___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1213__1024__1648___0.png,P1213
P1213__1024__1648___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1213__1024__1648___1648.png,P1213
P1213__1024__1648___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1213__1024__1648___2472.png,P1213
P1213__1024__1648___2976,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1213__1024__1648___2976.png,P1213
P1213__1024__1648___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1213__1024__1648___824.png,P1213
P1213__1024__2472___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1213__1024__2472___0.png,P1213
P1213__1024__2472___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1213__1024__2472___1648.png,P1213
P1213__1024__2472___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1213__1024__2472___2472.png,P1213
P1213__1024__2472___2976,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1213__1024__2472___2976.png,P1213
P1213__1024__2472___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1213__1024__2472___824.png,P1213
P1213__1024__3296___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1213__1024__3296___0.png,P1213
P1213__1024__3296___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1213__1024__3296___1648.png,P1213
P1213__1024__3296___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1213__1024__3296___2472.png,P1213
P1213__1024__3296___2976,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1213__1024__3296___2976.png,P1213
P1213__1024__3296___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1213__1024__3296___824.png,P1213
P1213__1024__4120___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1213__1024__4120___0.png,P1213
P1213__1024__4120___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1213__1024__4120___1648.png,P1213
P1213__1024__4120___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1213__1024__4120___2472.png,P1213
P1213__1024__4120___2976,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1213__1024__4120___2976.png,P1213
P1213__1024__4120___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1213__1024__4120___824.png,P1213
P1213__1024__4176___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1213__1024__4176___0.png,P1213
P1213__1024__4176___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1213__1024__4176___1648.png,P1213
P1213__1024__4176___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1213__1024__4176___2472.png,P1213
P1213__1024__4176___2976,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1213__1024__4176___2976.png,P1213
P1213__1024__4176___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1213__1024__4176___824.png,P1213
P1213__1024__824___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1213__1024__824___0.png,P1213
P1213__1024__824___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1213__1024__824___1648.png,P1213
P1213__1024__824___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1213__1024__824___2472.png,P1213
P1213__1024__824___2976,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1213__1024__824___2976.png,P1213
P1213__1024__824___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1213__1024__824___824.png,P1213
P1219__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1219__1024__0___0.png,P1219
P1219__1024__0___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1219__1024__0___1648.png,P1219
P1219__1024__0___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1219__1024__0___2472.png,P1219
P1219__1024__0___2596,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1219__1024__0___2596.png,P1219
P1219__1024__0___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1219__1024__0___824.png,P1219
P1219__1024__1648___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1219__1024__1648___0.png,P1219
P1219__1024__1648___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1219__1024__1648___1648.png,P1219
P1219__1024__1648___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1219__1024__1648___2472.png,P1219
P1219__1024__1648___2596,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1219__1024__1648___2596.png,P1219
P1219__1024__1648___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1219__1024__1648___824.png,P1219
P1219__1024__2472___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1219__1024__2472___0.png,P1219
P1219__1024__2472___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1219__1024__2472___1648.png,P1219
P1219__1024__2472___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1219__1024__2472___2472.png,P1219
P1219__1024__2472___2596,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1219__1024__2472___2596.png,P1219
P1219__1024__2472___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1219__1024__2472___824.png,P1219
P1219__1024__2976___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1219__1024__2976___0.png,P1219
P1219__1024__2976___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1219__1024__2976___1648.png,P1219
P1219__1024__2976___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1219__1024__2976___2472.png,P1219
P1219__1024__2976___2596,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1219__1024__2976___2596.png,P1219
P1219__1024__2976___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1219__1024__2976___824.png,P1219
P1219__1024__824___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1219__1024__824___0.png,P1219
P1219__1024__824___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1219__1024__824___1648.png,P1219
P1219__1024__824___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1219__1024__824___2472.png,P1219
P1219__1024__824___2596,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1219__1024__824___2596.png,P1219
P1219__1024__824___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1219__1024__824___824.png,P1219
P1225__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1225__1024__0___0.png,P1225
P1225__1024__0___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1225__1024__0___1648.png,P1225
P1225__1024__0___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1225__1024__0___2472.png,P1225
P1225__1024__0___2976,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1225__1024__0___2976.png,P1225
P1225__1024__0___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1225__1024__0___824.png,P1225
P1225__1024__1648___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1225__1024__1648___0.png,P1225
P1225__1024__1648___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1225__1024__1648___1648.png,P1225
P1225__1024__1648___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1225__1024__1648___2472.png,P1225
P1225__1024__1648___2976,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1225__1024__1648___2976.png,P1225
P1225__1024__1648___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1225__1024__1648___824.png,P1225
P1225__1024__2472___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1225__1024__2472___0.png,P1225
P1225__1024__2472___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1225__1024__2472___1648.png,P1225
P1225__1024__2472___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1225__1024__2472___2472.png,P1225
P1225__1024__2472___2976,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1225__1024__2472___2976.png,P1225
P1225__1024__2472___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1225__1024__2472___824.png,P1225
P1225__1024__2976___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1225__1024__2976___0.png,P1225
P1225__1024__2976___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1225__1024__2976___1648.png,P1225
P1225__1024__2976___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1225__1024__2976___2472.png,P1225
P1225__1024__2976___2976,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1225__1024__2976___2976.png,P1225
P1225__1024__2976___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1225__1024__2976___824.png,P1225
P1225__1024__824___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1225__1024__824___0.png,P1225
P1225__1024__824___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1225__1024__824___1648.png,P1225
P1225__1024__824___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1225__1024__824___2472.png,P1225
P1225__1024__824___2976,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1225__1024__824___2976.png,P1225
P1225__1024__824___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1225__1024__824___824.png,P1225
P1230__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1230__1024__0___0.png,P1230
P1230__1024__0___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1230__1024__0___1648.png,P1230
P1230__1024__0___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1230__1024__0___2472.png,P1230
P1230__1024__0___2976,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1230__1024__0___2976.png,P1230
P1230__1024__0___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1230__1024__0___824.png,P1230
P1230__1024__1648___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1230__1024__1648___0.png,P1230
P1230__1024__1648___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1230__1024__1648___1648.png,P1230
P1230__1024__1648___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P1230__1024__1648___2472.png,P1230
