metric,cell,dataset,detector,score_type,old_ar16_value,new_ar21_value,direction_old,direction_new,conclusion_changed,interpretation
NRC,A,DIOR-R,rotated_retinanet_psc,detection_score,0.5644,0.6082,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__DCL__DIOR-R__seed0,DIOR-R,k2_DCL,score_DCL,0.6247,0.6375,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,K2:K2_final__DCL__DIOR-R__seed0,DIOR-R,k2_DCL,score_DCL,2.2012,2.1463,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__DCL__DIOR-R__seed0,DIOR-R,k2_DCL,score_DCL,2.5873,2.515,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__DCL__DIOR-R__seed0,DIOR-R,k2_DCL,score_DCL,2.8404,2.7498,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__DCL__DIOR-R__seed1,DIOR-R,k2_DCL,native_DCL,0.25,0.2436,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,K2:K2_final__DCL__DIOR-R__seed1,DIOR-R,k2_DCL,native_DCL,1.4036,1.3638,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__DCL__DIOR-R__seed1,DIOR-R,k2_DCL,native_DCL,1.7325,1.6848,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__DCL__DIOR-R__seed1,DIOR-R,k2_DCL,native_DCL,2.4305,2.3686,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__DCL__DIOR-R__seed1,DIOR-R,k2_DCL,score_DCL,0.6161,0.6436,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,K2:K2_final__DCL__DIOR-R__seed1,DIOR-R,k2_DCL,score_DCL,2.173,2.1539,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__DCL__DIOR-R__seed1,DIOR-R,k2_DCL,score_DCL,2.5611,2.522,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__DCL__DIOR-R__seed1,DIOR-R,k2_DCL,score_DCL,2.825,2.7441,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__DCL__DIOR-R__seed2,DIOR-R,k2_DCL,native_DCL,0.2717,0.2599,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,K2:K2_final__DCL__DIOR-R__seed2,DIOR-R,k2_DCL,native_DCL,1.4542,1.3985,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__DCL__DIOR-R__seed2,DIOR-R,k2_DCL,native_DCL,1.822,1.7672,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__DCL__DIOR-R__seed2,DIOR-R,k2_DCL,native_DCL,2.4942,2.4407,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__DCL__DIOR-R__seed2,DIOR-R,k2_DCL,score_DCL,0.6065,0.6315,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,K2:K2_final__DCL__DIOR-R__seed2,DIOR-R,k2_DCL,score_DCL,2.1555,2.1273,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__DCL__DIOR-R__seed2,DIOR-R,k2_DCL,score_DCL,2.5404,2.4918,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__DCL__DIOR-R__seed2,DIOR-R,k2_DCL,score_DCL,2.8045,2.7296,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__DCL__SODA-A__seed0,SODA-A,k2_DCL,native_DCL,0.364,0.3699,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,K2:K2_final__DCL__SODA-A__seed0,SODA-A,k2_DCL,native_DCL,2.0048,1.8356,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__DCL__SODA-A__seed0,SODA-A,k2_DCL,native_DCL,2.5661,2.3883,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__DCL__SODA-A__seed0,SODA-A,k2_DCL,native_DCL,3.0464,2.7984,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__DCL__SODA-A__seed0,SODA-A,k2_DCL,score_DCL,0.9949,0.8892,near-random,non-reversed,True,NRC direction changed; old claim superseded
AURC,K2:K2_final__DCL__SODA-A__seed0,SODA-A,k2_DCL,score_DCL,3.4476,2.8765,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__DCL__SODA-A__seed0,SODA-A,k2_DCL,score_DCL,3.257,2.9274,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__DCL__SODA-A__seed0,SODA-A,k2_DCL,score_DCL,3.372,3.0406,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__DCL__SODA-A__seed1,SODA-A,k2_DCL,native_DCL,0.3848,0.3781,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,K2:K2_final__DCL__SODA-A__seed1,SODA-A,k2_DCL,native_DCL,2.0587,1.8649,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__DCL__SODA-A__seed1,SODA-A,k2_DCL,native_DCL,2.6122,2.4334,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__DCL__SODA-A__seed1,SODA-A,k2_DCL,native_DCL,3.0718,2.8226,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__DCL__SODA-A__seed1,SODA-A,k2_DCL,score_DCL,0.9844,0.8945,near-random,non-reversed,True,NRC direction changed; old claim superseded
AURC,K2:K2_final__DCL__SODA-A__seed1,SODA-A,k2_DCL,score_DCL,3.4259,2.8986,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__DCL__SODA-A__seed1,SODA-A,k2_DCL,score_DCL,3.2635,2.9473,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__DCL__SODA-A__seed1,SODA-A,k2_DCL,score_DCL,3.3759,3.0535,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__DCL__SODA-A__seed2,SODA-A,k2_DCL,native_DCL,0.3723,0.3702,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,K2:K2_final__DCL__SODA-A__seed2,SODA-A,k2_DCL,native_DCL,2.0126,1.8236,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__DCL__SODA-A__seed2,SODA-A,k2_DCL,native_DCL,2.5621,2.387,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__DCL__SODA-A__seed2,SODA-A,k2_DCL,native_DCL,3.0352,2.7899,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__DCL__SODA-A__seed2,SODA-A,k2_DCL,score_DCL,0.9925,0.89,near-random,non-reversed,True,NRC direction changed; old claim superseded
AURC,K2:K2_final__DCL__SODA-A__seed2,SODA-A,k2_DCL,score_DCL,3.4281,2.8617,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__DCL__SODA-A__seed2,SODA-A,k2_DCL,score_DCL,3.2494,2.9115,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__DCL__SODA-A__seed2,SODA-A,k2_DCL,score_DCL,3.3624,3.0214,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__PSC__DIOR-R__seed0,DIOR-R,k2_PSC,native_PSC,1.1839,1.2073,reversed,reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,K2:K2_final__PSC__DIOR-R__seed0,DIOR-R,k2_PSC,native_PSC,2.0211,1.9955,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__PSC__DIOR-R__seed0,DIOR-R,k2_PSC,native_PSC,1.7334,1.7035,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__PSC__DIOR-R__seed0,DIOR-R,k2_PSC,native_PSC,1.6014,1.5769,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__PSC__DIOR-R__seed0,DIOR-R,k2_PSC,score_PSC,0.5602,0.5906,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,K2:K2_final__PSC__DIOR-R__seed0,DIOR-R,k2_PSC,score_PSC,1.1943,1.2116,ar1.6_reference,higher,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__PSC__DIOR-R__seed0,DIOR-R,k2_PSC,score_PSC,1.4347,1.4402,ar1.6_reference,higher,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__PSC__DIOR-R__seed0,DIOR-R,k2_PSC,score_PSC,1.6346,1.6102,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__PSC__DIOR-R__seed1,DIOR-R,k2_PSC,native_PSC,1.1786,1.2024,reversed,reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,K2:K2_final__PSC__DIOR-R__seed1,DIOR-R,k2_PSC,native_PSC,2.0041,1.9563,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__PSC__DIOR-R__seed1,DIOR-R,k2_PSC,native_PSC,1.7034,1.6549,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__PSC__DIOR-R__seed1,DIOR-R,k2_PSC,native_PSC,1.5981,1.5514,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__PSC__DIOR-R__seed1,DIOR-R,k2_PSC,score_PSC,0.5595,0.5972,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,K2:K2_final__PSC__DIOR-R__seed1,DIOR-R,k2_PSC,score_PSC,1.1823,1.1967,ar1.6_reference,higher,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__PSC__DIOR-R__seed1,DIOR-R,k2_PSC,score_PSC,1.4234,1.4216,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__PSC__DIOR-R__seed1,DIOR-R,k2_PSC,score_PSC,1.626,1.5808,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__PSC__DIOR-R__seed2,DIOR-R,k2_PSC,native_PSC,1.1871,1.2176,reversed,reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,K2:K2_final__PSC__DIOR-R__seed2,DIOR-R,k2_PSC,native_PSC,2.0053,1.95,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__PSC__DIOR-R__seed2,DIOR-R,k2_PSC,native_PSC,1.6953,1.6379,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__PSC__DIOR-R__seed2,DIOR-R,k2_PSC,native_PSC,1.5854,1.5378,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__PSC__DIOR-R__seed2,DIOR-R,k2_PSC,score_PSC,0.5631,0.6049,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,K2:K2_final__PSC__DIOR-R__seed2,DIOR-R,k2_PSC,score_PSC,1.1783,1.1887,ar1.6_reference,higher,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__PSC__DIOR-R__seed2,DIOR-R,k2_PSC,score_PSC,1.4114,1.4131,ar1.6_reference,higher,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__PSC__DIOR-R__seed2,DIOR-R,k2_PSC,score_PSC,1.601,1.5724,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__PSC__SODA-A__seed0,SODA-A,k2_PSC,native_PSC,1.1143,1.1316,reversed,reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,K2:K2_final__PSC__SODA-A__seed0,SODA-A,k2_PSC,native_PSC,2.5404,2.2169,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__PSC__SODA-A__seed0,SODA-A,k2_PSC,native_PSC,2.2636,1.9931,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__PSC__SODA-A__seed0,SODA-A,k2_PSC,native_PSC,2.2492,1.977,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__PSC__SODA-A__seed0,SODA-A,k2_PSC,score_PSC,0.9109,0.8065,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,K2:K2_final__PSC__SODA-A__seed0,SODA-A,k2_PSC,score_PSC,2.218,1.7795,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__PSC__SODA-A__seed0,SODA-A,k2_PSC,score_PSC,2.1599,1.875,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__PSC__SODA-A__seed0,SODA-A,k2_PSC,score_PSC,2.2868,1.9859,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__PSC__SODA-A__seed1,SODA-A,k2_PSC,native_PSC,1.1293,1.1338,reversed,reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,K2:K2_final__PSC__SODA-A__seed1,SODA-A,k2_PSC,native_PSC,2.62,2.2721,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__PSC__SODA-A__seed1,SODA-A,k2_PSC,native_PSC,2.3143,2.0274,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__PSC__SODA-A__seed1,SODA-A,k2_PSC,native_PSC,2.2966,2.0168,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__PSC__SODA-A__seed1,SODA-A,k2_PSC,score_PSC,0.9138,0.8409,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,K2:K2_final__PSC__SODA-A__seed1,SODA-A,k2_PSC,score_PSC,2.272,1.8691,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__PSC__SODA-A__seed1,SODA-A,k2_PSC,score_PSC,2.2017,1.9248,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__PSC__SODA-A__seed1,SODA-A,k2_PSC,score_PSC,2.326,2.0277,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__PSC__SODA-A__seed2,SODA-A,k2_PSC,native_PSC,1.1202,1.1259,reversed,reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,K2:K2_final__PSC__SODA-A__seed2,SODA-A,k2_PSC,native_PSC,2.6048,2.2645,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__PSC__SODA-A__seed2,SODA-A,k2_PSC,native_PSC,2.2846,1.9986,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__PSC__SODA-A__seed2,SODA-A,k2_PSC,native_PSC,2.3017,2.0246,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__PSC__SODA-A__seed2,SODA-A,k2_PSC,score_PSC,0.9257,0.8595,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,K2:K2_final__PSC__SODA-A__seed2,SODA-A,k2_PSC,score_PSC,2.2903,1.897,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__PSC__SODA-A__seed2,SODA-A,k2_PSC,score_PSC,2.2263,1.9606,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__PSC__SODA-A__seed2,SODA-A,k2_PSC,score_PSC,2.3312,2.0376,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
