baseline_id,model_id,dataset,config,checkpoint,repo_env_clue,gpu_suggestion,expected_output_path,needs_prediction_schema_conversion,blocked_reason,executable_now
47,strip_rcnn_s_fpn_1x_le90,DIOR-R,/home/rspip/cqc/pro/study/pth_data/baseline_strip_rcnn_s_fpn_1x_le90/DIOR_trainval_test_z4_seed0/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_strip_rcnn_s_fpn_1x_le90/DIOR_trainval_test_z4_seed0/best_mAP_4293_epoch_11.pth,unknown / env=unknown,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline47_DIOR-R.pkl,True,(none — inference approval-gated),False
48,strip_rcnn_s_fpn_1x_le90,DIOR-R,/home/rspip/cqc/pro/study/pth_data/baseline_strip_rcnn_s_fpn_1x_le90/DIOR_trainval_test_z4_seed1/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_strip_rcnn_s_fpn_1x_le90/DIOR_trainval_test_z4_seed1/best_mAP_4340_epoch_12.pth,unknown / env=unknown,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline48_DIOR-R.pkl,True,(none — inference approval-gated),False
49,strip_rcnn_s_fpn_1x_le90,DIOR-R,/home/rspip/cqc/pro/study/pth_data/baseline_strip_rcnn_s_fpn_1x_le90/DIOR_trainval_test_z4_seed2/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_strip_rcnn_s_fpn_1x_le90/DIOR_trainval_test_z4_seed2/best_mAP_4321_epoch_11.pth,unknown / env=unknown,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline49_DIOR-R.pkl,True,(none — inference approval-gated),False
50,oriented_rcnn_r50_fpn_1x_le90,DOTA-v1.5,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_train_val_naood_seed100/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_train_val_naood_seed100/best_mAP_6749_epoch_11.pth,onedl-mmrotate 1.1.1 / env=pcp-obb,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline50_DOTA-v1.5.pkl,True,(none — inference approval-gated),False
51,oriented_rcnn_r50_fpn_1x_le90,DOTA-v1.5,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_train_val_naood_seed200/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_train_val_naood_seed200/best_mAP_6683_epoch_12.pth,onedl-mmrotate 1.1.1 / env=pcp-obb,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline51_DOTA-v1.5.pkl,True,(none — inference approval-gated),False
52,strip_rcnn_s_fpn_1x_le90,DOTA-v1.5,/home/rspip/cqc/pro/study/pth_data/baseline_strip_rcnn_s_fpn_1x_le90/DOTA15_train_val_naood_seed100/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_strip_rcnn_s_fpn_1x_le90/DOTA15_train_val_naood_seed100/best_mAP_7017_epoch_11.pth,unknown / env=unknown,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline52_DOTA-v1.5.pkl,True,(none — inference approval-gated),False
53,strip_rcnn_s_fpn_1x_le90,DOTA-v1.5,/home/rspip/cqc/pro/study/pth_data/baseline_strip_rcnn_s_fpn_1x_le90/DOTA15_train_val_naood_seed200/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_strip_rcnn_s_fpn_1x_le90/DOTA15_train_val_naood_seed200/best_mAP_7028_epoch_12.pth,unknown / env=unknown,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline53_DOTA-v1.5.pkl,True,(none — inference approval-gated),False
54,oriented_rcnn_r50_fpn_1x_le90,DOTA-v1.5,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_train_val_naood_multiseed_adamw_seed123/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_train_val_naood_multiseed_adamw_seed123/best_mAP_6788_epoch_12.pth,onedl-mmrotate 1.1.1 / env=pcp-obb,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline54_DOTA-v1.5.pkl,True,not_applicable: baseline invalid,False
55,oriented_rcnn_r50_fpn_1x_le90,DOTA-v1.5,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_train_val_naood_multiseed_adamw_seed777/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_train_val_naood_multiseed_adamw_seed777/best_mAP_6701_epoch_09.pth,onedl-mmrotate 1.1.1 / env=pcp-obb,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline55_DOTA-v1.5.pkl,True,not_applicable: baseline invalid,False
56,oriented_rcnn_r50_fpn_1x_le90,DOTA-v1.5,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_train_val_naood_multiseed_sgd_seed123/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_train_val_naood_multiseed_sgd_seed123/best_mAP_6593_epoch_11.pth,onedl-mmrotate 1.1.1 / env=pcp-obb,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline56_DOTA-v1.5.pkl,True,not_applicable: baseline invalid,False
57,oriented_rcnn_r50_fpn_1x_le90,DOTA-v1.5,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_train_val_naood_multiseed_sgd_seed777/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_train_val_naood_multiseed_sgd_seed777/best_mAP_6596_epoch_11.pth,onedl-mmrotate 1.1.1 / env=pcp-obb,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline57_DOTA-v1.5.pkl,True,not_applicable: baseline invalid,False
58,oriented_rcnn_r50_fpn_1x_le90,DIOR-R,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DIOR_trainval_test_naood_full_seed0_lr005/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DIOR_trainval_test_naood_full_seed0_lr005/best_mAP_3603_epoch_12.pth,onedl-mmrotate 1.1.1 / env=pcp-obb,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline58_DIOR-R.pkl,True,not_applicable: baseline invalid,False
59,oriented_rcnn_r50_fpn_1x_le90,DIOR-R,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DIOR_trainval_test_naood_seed0_full/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DIOR_trainval_test_naood_seed0_full/best_mAP_3859_epoch_12.pth,onedl-mmrotate 1.1.1 / env=pcp-obb,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline59_DIOR-R.pkl,True,(none — inference approval-gated),False
60,strip_rcnn_s_fpn_1x_le90,DIOR-R,/home/rspip/cqc/pro/study/pth_data/baseline_strip_rcnn_s_fpn_1x_le90/DIOR_trainval_test_naood_seed0_aligned/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_strip_rcnn_s_fpn_1x_le90/DIOR_trainval_test_naood_seed0_aligned/best_mAP_4467_epoch_11.pth,unknown / env=unknown,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline60_DIOR-R.pkl,True,(none — inference approval-gated),False
61,rotated_rtmdet_s_fpn_3x_le90,DIOR-R,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_rtmdet_s_fpn_3x_le90/DIOR_trainval_test_taos_pad32/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_rtmdet_s_fpn_3x_le90/DIOR_trainval_test_taos_pad32/best_mAP_5489_epoch_32.pth,unknown / env=unknown,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline61_DIOR-R.pkl,True,(none — inference approval-gated),False
62,oriented_rcnn_lsknet_s_fpn_1x_le90,DOTA-v1.5 exact_iof01,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA15_exact_iof01_train_val_taos_12ep/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA15_exact_iof01_train_val_taos_12ep/best_mAP_6701_epoch_12.pth,mmrotate 0.3.4 (LSKNet repo / pcp-obb-soda env) / env=pcp-obb-soda,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline62_DOTA-v1.5.pkl,True,(none — inference approval-gated),False
63,oriented_rcnn_r50_fpn_1x_le90,DOTA-v1.5 exact_iof01,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_exact_iof01_train_val_taos_12ep_bs1_accum2/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_exact_iof01_train_val_taos_12ep_bs1_accum2/best_mAP_6233_epoch_10.pth,onedl-mmrotate 1.1.1 / env=pcp-obb,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline63_DOTA-v1.5.pkl,True,(none — inference approval-gated),False
64,point2rbox_v2_r50_fpn_1x_le90,DOTA-v1.0,/home/rspip/cqc/pro/study/pth_data/baseline_point2rbox_v2_r50_fpn_1x_le90/DOTA10_train_val/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_point2rbox_v2_r50_fpn_1x_le90/DOTA10_train_val/best_mAP_3542_epoch_09.pth,unknown / env=unknown,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline64_DOTA-v1.0.pkl,True,(none — inference approval-gated),False
65,rotated_fcos_r50_fpn_1x_le90_pseudo,DOTA-v1.0,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_fcos_r50_fpn_1x_le90_pseudo/DOTA10_train_val/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_fcos_r50_fpn_1x_le90_pseudo/DOTA10_train_val/best_mAP_5037_epoch_10.pth,unknown / env=unknown,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline65_DOTA-v1.0.pkl,True,(none — inference approval-gated),False
66,rotated_retinanet_psc_r50_fpn_1x_le90,DOTA-v1.5 SS,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_retinanet_psc_r50_fpn_1x_le90/DOTA15_SS_train_val/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_retinanet_psc_r50_fpn_1x_le90/DOTA15_SS_train_val/best_mAP_4961_epoch_11.pth,onedl-mmrotate 1.1.1 (PSC components) / env=pcp-obb,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline66_DOTA-v1.5.pkl,True,(none — inference approval-gated),False
67,oriented_rcnn_r50_fpn_1x_le90,ICDAR-MLT (跨域 probe M11),/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/ICDAR_MLT_train_val/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/ICDAR_MLT_train_val/best_mAP_5892_epoch_11.pth,onedl-mmrotate 1.1.1 / env=pcp-obb,1-4x A30 (single-gpu test first); reproducible multi-proc,,True,blocked_missing_dataset: ICDAR-MLT (跨域 probe M11),False
68,rotated_retinanet_psc_r50_fpn_1x_le90,ICDAR-MLT (跨域 probe M11),/home/rspip/cqc/pro/study/pth_data/baseline_rotated_retinanet_psc_r50_fpn_1x_le90/ICDAR_MLT_train_val/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_retinanet_psc_r50_fpn_1x_le90/ICDAR_MLT_train_val/best_mAP_5605_epoch_12.pth,onedl-mmrotate 1.1.1 (PSC components) / env=pcp-obb,1-4x A30 (single-gpu test first); reproducible multi-proc,,True,blocked_missing_dataset: ICDAR-MLT (跨域 probe M11),False
69,oriented_rcnn_r50_fpn_1x_le90,DOTA-v1.5,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_train_val_geosense/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_train_val_geosense/best_dota_mAP_epoch_12.pth,onedl-mmrotate 1.1.1 / env=pcp-obb,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline69_DOTA-v1.5.pkl,True,(none — inference approval-gated),False
70,h2rbox_v2_r50_fpn_1x_le90,DOTA-v1.0,/home/rspip/cqc/pro/study/pth_data/baseline_h2rbox_v2_r50_fpn_1x_le90/DOTA10_train_val/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_h2rbox_v2_r50_fpn_1x_le90/DOTA10_train_val/best_dota_mAP_epoch_11.pth,unknown / env=unknown,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline70_DOTA-v1.0.pkl,True,(none — inference approval-gated),False
71,oriented_rcnn_r50_fpn_1x_le90,DOTA-v1.0,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA10_train_val_censored/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA10_train_val_censored/best_mAP_epoch_10.pth,onedl-mmrotate 1.1.1 / env=pcp-obb,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline71_DOTA-v1.0.pkl,True,(none — inference approval-gated),False
72,arsdetr_r50_fpn_36e_le90,ICDAR-MLT 2019,/home/rspip/cqc/pro/study/pth_data/baseline_arsdetr_r50_fpn_36e_le90/ICDAR_MLT_train_val/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_arsdetr_r50_fpn_36e_le90/ICDAR_MLT_train_val/best_mAP_4458_epoch_36.pth,ARS-DETR fork mmrotate 0.1.0 / env=ars,1-4x A30 (single-gpu test first); reproducible multi-proc,,True,blocked_missing_dataset: ICDAR-MLT 2019,False
73,oriented_rcnn_lsknet_s_fpn_1x_le90,ICDAR-MLT 2019,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/ICDAR_MLT_retrain_v2_nanfix/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/ICDAR_MLT_retrain_v2_nanfix/best_mAP_5984_epoch_11.pth,mmrotate 0.3.4 (LSKNet repo / pcp-obb-soda env) / env=pcp-obb-soda,1-4x A30 (single-gpu test first); reproducible multi-proc,,True,blocked_missing_dataset: ICDAR-MLT 2019,False
,rhino_rotated_detr,(any),,,n/a,n/a,,True,blocked_missing_detector: RHINO missing — no checkpoint/config,False
,a4_hybrid_encoder_oriented_detr,(any),,,n/a,n/a,,True,blocked_missing_detector: A4 frozen host pending,False
