assignment_version,annotator_slot,task_order,anon_id,dataset,image_id,pred_id,crop_relpath,long_side_angle_deg_le90,cannot_determine,annotator_id,annotation_timestamp_utc
m4-v3-e6479d43f0b9,A,193,742ec00e754e13b2,DIOR-R,20298,98,crops/742ec00e754e13b2.jpg,,,,
m4-v3-e6479d43f0b9,A,194,15744683a748fd91,DIOR-R,13223,19,crops/15744683a748fd91.jpg,,,,
m4-v3-e6479d43f0b9,A,195,3a39d551af082d5e,FAIR1M-v1.0,2160__1024__0___0,284,crops/3a39d551af082d5e.jpg,,,,
m4-v3-e6479d43f0b9,A,196,c0a6b7d9eb44f5cf,SODA-A,00849__800__2425___1203,15,crops/c0a6b7d9eb44f5cf.jpg,,,,
m4-v3-e6479d43f0b9,A,197,602146743c3c34ee,DIOR-R,11745,29,crops/602146743c3c34ee.jpg,,,,
m4-v3-e6479d43f0b9,A,198,7ea9ba6b904bcdc4,FAIR1M-v1.0,8106__1024__0___0,4,crops/7ea9ba6b904bcdc4.jpg,,,,
m4-v3-e6479d43f0b9,A,199,03e22bc8808ce90e,SODA-A,00283__800__3600___1800,22,crops/03e22bc8808ce90e.jpg,,,,
m4-v3-e6479d43f0b9,A,200,c81500ff51ff1c72,SODA-A,01371__800__3955___600,18,crops/c81500ff51ff1c72.jpg,,,,
m4-v3-e6479d43f0b9,A,201,25753a73e8c52d3b,DIOR-R,13283,0,crops/25753a73e8c52d3b.jpg,,,,
m4-v3-e6479d43f0b9,A,202,986648975f4beca5,FAIR1M-v1.0,12647__1024__0___0,167,crops/986648975f4beca5.jpg,,,,
m4-v3-e6479d43f0b9,A,203,c08e88ed70b0aa16,FAIR1M-v1.0,267__1024__476___476,13,crops/c08e88ed70b0aa16.jpg,,,,
m4-v3-e6479d43f0b9,A,204,bc1fd4d6d3960de3,DIOR-R,17031,3,crops/bc1fd4d6d3960de3.jpg,,,,
m4-v3-e6479d43f0b9,A,205,957b854dfcfb1140,FAIR1M-v1.0,8716__1024__0___0,52,crops/957b854dfcfb1140.jpg,,,,
m4-v3-e6479d43f0b9,A,206,04060836b392d125,SODA-A,00557__800__0___0,179,crops/04060836b392d125.jpg,,,,
m4-v3-e6479d43f0b9,A,207,000473f222358086,FAIR1M-v1.0,5093__1024__0___0,26,crops/000473f222358086.jpg,,,,
m4-v3-e6479d43f0b9,A,208,1b50557193c77b13,DIOR-R,18735,3,crops/1b50557193c77b13.jpg,,,,
m4-v3-e6479d43f0b9,A,209,e41fe55f4025277b,FAIR1M-v1.0,14887__1024__0___0,165,crops/e41fe55f4025277b.jpg,,,,
m4-v3-e6479d43f0b9,A,210,5f9391ec713ef1b7,DIOR-R,12770,12,crops/5f9391ec713ef1b7.jpg,,,,
m4-v3-e6479d43f0b9,A,211,6856a38befabfe10,FAIR1M-v1.0,14360__1024__0___0,41,crops/6856a38befabfe10.jpg,,,,
m4-v3-e6479d43f0b9,A,212,b563d9f6ead4a4c7,SODA-A,01447__800__0___1800,53,crops/b563d9f6ead4a4c7.jpg,,,,
m4-v3-e6479d43f0b9,A,213,30c9fbd4d800189e,DIOR-R,16740,10,crops/30c9fbd4d800189e.jpg,,,,
m4-v3-e6479d43f0b9,A,214,d0fc02091dd4e903,SODA-A,01633__800__3000___600,26,crops/d0fc02091dd4e903.jpg,,,,
m4-v3-e6479d43f0b9,A,215,94864eb01d9aca12,FAIR1M-v1.0,14654__1024__0___0,28,crops/94864eb01d9aca12.jpg,,,,
m4-v3-e6479d43f0b9,A,216,b43c806a898db6af,DIOR-R,17858,18,crops/b43c806a898db6af.jpg,,,,
m4-v3-e6479d43f0b9,A,217,1d00217c6d070e35,FAIR1M-v1.0,10467__1024__0___0,13,crops/1d00217c6d070e35.jpg,,,,
m4-v3-e6479d43f0b9,A,218,7a9448d60f3ef3ec,FAIR1M-v1.0,1751__1024__0___0,167,crops/7a9448d60f3ef3ec.jpg,,,,
m4-v3-e6479d43f0b9,A,219,64d06425df4517e8,SODA-A,00746__800__1800___0,12,crops/64d06425df4517e8.jpg,,,,
m4-v3-e6479d43f0b9,A,220,0db69c7f7e725792,FAIR1M-v1.0,6048__1024__0___0,0,crops/0db69c7f7e725792.jpg,,,,
m4-v3-e6479d43f0b9,A,221,6976c8b727df9844,SODA-A,00685__800__1800___600,1,crops/6976c8b727df9844.jpg,,,,
m4-v3-e6479d43f0b9,A,222,bdfcc2cddf032408,FAIR1M-v1.0,8963__1024__0___0,157,crops/bdfcc2cddf032408.jpg,,,,
m4-v3-e6479d43f0b9,A,223,425950d015af9521,FAIR1M-v1.0,10227__1024__0___0,18,crops/425950d015af9521.jpg,,,,
m4-v3-e6479d43f0b9,A,224,d3ee8808a4f5106f,DIOR-R,18771,38,crops/d3ee8808a4f5106f.jpg,,,,
m4-v3-e6479d43f0b9,A,225,b250f2bb986091db,SODA-A,02107__800__3000___1800,94,crops/b250f2bb986091db.jpg,,,,
m4-v3-e6479d43f0b9,A,226,972d0e71c68383d5,DIOR-R,12036,82,crops/972d0e71c68383d5.jpg,,,,
m4-v3-e6479d43f0b9,A,227,9a54718857c88412,FAIR1M-v1.0,13856__1024__0___0,80,crops/9a54718857c88412.jpg,,,,
m4-v3-e6479d43f0b9,A,228,d4aa25fb7773f6f9,DIOR-R,16456,249,crops/d4aa25fb7773f6f9.jpg,,,,
m4-v3-e6479d43f0b9,A,229,d1b9f3c4afbd44d6,SODA-A,01587__800__600___0,26,crops/d1b9f3c4afbd44d6.jpg,,,,
m4-v3-e6479d43f0b9,A,230,cf52b1272c4bbc5e,DIOR-R,23054,7,crops/cf52b1272c4bbc5e.jpg,,,,
m4-v3-e6479d43f0b9,A,231,04ff9dda3c4b089d,FAIR1M-v1.0,15946__1024__0___0,163,crops/04ff9dda3c4b089d.jpg,,,,
m4-v3-e6479d43f0b9,A,232,47dd8544c36dd269,DIOR-R,22289,2,crops/47dd8544c36dd269.jpg,,,,
m4-v3-e6479d43f0b9,A,233,0ca34d64540e9f75,SODA-A,01608__800__2400___1200,166,crops/0ca34d64540e9f75.jpg,,,,
m4-v3-e6479d43f0b9,A,234,e77724c876fc99b8,DIOR-R,14048,3,crops/e77724c876fc99b8.jpg,,,,
m4-v3-e6479d43f0b9,A,235,7292316abfbde484,SODA-A,02002__800__2400___1200,72,crops/7292316abfbde484.jpg,,,,
m4-v3-e6479d43f0b9,A,236,9b00e65168dedd02,SODA-A,01699__800__3000___600,89,crops/9b00e65168dedd02.jpg,,,,
m4-v3-e6479d43f0b9,A,237,5e4c6d0b2e943e88,FAIR1M-v1.0,12481__1024__1648___0,12,crops/5e4c6d0b2e943e88.jpg,,,,
m4-v3-e6479d43f0b9,A,238,c26412cc14adf60e,DIOR-R,21504,5,crops/c26412cc14adf60e.jpg,,,,
m4-v3-e6479d43f0b9,A,239,36398e51d6143a74,DIOR-R,21577,62,crops/36398e51d6143a74.jpg,,,,
m4-v3-e6479d43f0b9,A,240,eaf48c88ebfb165a,SODA-A,00226__800__3600___1200,64,crops/eaf48c88ebfb165a.jpg,,,,
m4-v3-e6479d43f0b9,A,241,c2c5e03b21fdeb8d,FAIR1M-v1.0,3389__1024__0___0,351,crops/c2c5e03b21fdeb8d.jpg,,,,
m4-v3-e6479d43f0b9,A,242,f366963bf9ff0228,FAIR1M-v1.0,12626__1024__0___0,2,crops/f366963bf9ff0228.jpg,,,,
m4-v3-e6479d43f0b9,A,243,3362ce09824fc139,FAIR1M-v1.0,1572__1024__0___0,28,crops/3362ce09824fc139.jpg,,,,
m4-v3-e6479d43f0b9,A,244,a3237ee069fd1c48,DIOR-R,18976,99,crops/a3237ee069fd1c48.jpg,,,,
m4-v3-e6479d43f0b9,A,245,90d4eacc916b7079,FAIR1M-v1.0,15574__1024__0___0,0,crops/90d4eacc916b7079.jpg,,,,
m4-v3-e6479d43f0b9,A,246,e81553fc128cac81,FAIR1M-v1.0,15104__1024__0___0,13,crops/e81553fc128cac81.jpg,,,,
m4-v3-e6479d43f0b9,A,247,83f7ba00375ad039,FAIR1M-v1.0,14712__1024__0___0,38,crops/83f7ba00375ad039.jpg,,,,
m4-v3-e6479d43f0b9,A,248,977e1eef37b520f3,FAIR1M-v1.0,9256__1024__0___0,41,crops/977e1eef37b520f3.jpg,,,,
m4-v3-e6479d43f0b9,A,249,3e68b91321e60cd4,DIOR-R,16933,0,crops/3e68b91321e60cd4.jpg,,,,
m4-v3-e6479d43f0b9,A,250,37f9dc1e0cef633d,SODA-A,01542__800__1800___1985,150,crops/37f9dc1e0cef633d.jpg,,,,
m4-v3-e6479d43f0b9,A,251,018c58fe959dd11e,DIOR-R,19235,31,crops/018c58fe959dd11e.jpg,,,,
m4-v3-e6479d43f0b9,A,252,c042b760bdb6cb8a,DIOR-R,15418,4,crops/c042b760bdb6cb8a.jpg,,,,
m4-v3-e6479d43f0b9,A,253,382125d5b7b60d84,FAIR1M-v1.0,10233__1024__0___0,19,crops/382125d5b7b60d84.jpg,,,,
m4-v3-e6479d43f0b9,A,254,15d457a387a2f61e,DIOR-R,21421,55,crops/15d457a387a2f61e.jpg,,,,
m4-v3-e6479d43f0b9,A,255,8184ac98eca62c90,DIOR-R,14590,32,crops/8184ac98eca62c90.jpg,,,,
m4-v3-e6479d43f0b9,A,256,7fecdd77fdb46974,FAIR1M-v1.0,329__1024__0___0,106,crops/7fecdd77fdb46974.jpg,,,,
m4-v3-e6479d43f0b9,A,257,7c847de9cceb3e8c,FAIR1M-v1.0,11772__1024__0___0,165,crops/7c847de9cceb3e8c.jpg,,,,
m4-v3-e6479d43f0b9,A,258,1bf396ab726c1694,DIOR-R,20406,13,crops/1bf396ab726c1694.jpg,,,,
m4-v3-e6479d43f0b9,A,259,3810e5f812230674,FAIR1M-v1.0,10797__1024__0___0,2,crops/3810e5f812230674.jpg,,,,
m4-v3-e6479d43f0b9,A,260,51615c8e3d78d499,DIOR-R,17128,2,crops/51615c8e3d78d499.jpg,,,,
m4-v3-e6479d43f0b9,A,261,1e3d8cc1e6c55d3b,DIOR-R,13026,5,crops/1e3d8cc1e6c55d3b.jpg,,,,
m4-v3-e6479d43f0b9,A,262,440b29409e610f8d,DIOR-R,13833,35,crops/440b29409e610f8d.jpg,,,,
m4-v3-e6479d43f0b9,A,263,06d9a64c086ac483,DIOR-R,12640,15,crops/06d9a64c086ac483.jpg,,,,
m4-v3-e6479d43f0b9,A,264,4e08546dded8431d,SODA-A,02190__800__600___0,102,crops/4e08546dded8431d.jpg,,,,
m4-v3-e6479d43f0b9,A,265,1f8247cbbe4a1ff1,FAIR1M-v1.0,3174__1024__0___0,7,crops/1f8247cbbe4a1ff1.jpg,,,,
m4-v3-e6479d43f0b9,A,266,be55320ecb7f1414,DIOR-R,20903,166,crops/be55320ecb7f1414.jpg,,,,
m4-v3-e6479d43f0b9,A,267,23c8292e28977690,FAIR1M-v1.0,13481__1024__0___0,15,crops/23c8292e28977690.jpg,,,,
m4-v3-e6479d43f0b9,A,268,2280dd7145448f5d,SODA-A,00423__800__3955___1800,35,crops/2280dd7145448f5d.jpg,,,,
m4-v3-e6479d43f0b9,A,269,2589276c99328566,FAIR1M-v1.0,9541__1024__0___0,76,crops/2589276c99328566.jpg,,,,
m4-v3-e6479d43f0b9,A,270,5d46f70492bad823,FAIR1M-v1.0,14426__1024__0___0,153,crops/5d46f70492bad823.jpg,,,,
m4-v3-e6479d43f0b9,A,271,17e2992a05f375c3,DIOR-R,23265,35,crops/17e2992a05f375c3.jpg,,,,
m4-v3-e6479d43f0b9,A,272,3f0d8ddb0761b3fa,DIOR-R,14181,7,crops/3f0d8ddb0761b3fa.jpg,,,,
m4-v3-e6479d43f0b9,A,273,2c8e4d0f52c26da4,DIOR-R,21215,3,crops/2c8e4d0f52c26da4.jpg,,,,
m4-v3-e6479d43f0b9,A,274,a6778f7701e629c2,SODA-A,01677__800__600___600,50,crops/a6778f7701e629c2.jpg,,,,
m4-v3-e6479d43f0b9,A,275,9839e92fc04e3571,SODA-A,00855__800__2400___1800,163,crops/9839e92fc04e3571.jpg,,,,
m4-v3-e6479d43f0b9,A,276,0a7fe4f3b1bc58d5,DIOR-R,14829,182,crops/0a7fe4f3b1bc58d5.jpg,,,,
m4-v3-e6479d43f0b9,A,277,32222327ec5335cf,DIOR-R,16849,5,crops/32222327ec5335cf.jpg,,,,
m4-v3-e6479d43f0b9,A,278,b09f533f24b422df,DIOR-R,11888,76,crops/b09f533f24b422df.jpg,,,,
m4-v3-e6479d43f0b9,A,279,50150a020723ddfe,DIOR-R,17360,0,crops/50150a020723ddfe.jpg,,,,
m4-v3-e6479d43f0b9,A,280,b5b39308581cbeea,DIOR-R,23002,1,crops/b5b39308581cbeea.jpg,,,,
m4-v3-e6479d43f0b9,A,281,debbc7bbd4296736,FAIR1M-v1.0,211__1024__0___0,28,crops/debbc7bbd4296736.jpg,,,,
m4-v3-e6479d43f0b9,A,282,f44d699d871b82b1,DIOR-R,15365,64,crops/f44d699d871b82b1.jpg,,,,
m4-v3-e6479d43f0b9,A,283,ae112a0d738a73a6,SODA-A,01589__800__3000___600,3,crops/ae112a0d738a73a6.jpg,,,,
m4-v3-e6479d43f0b9,A,284,59856cbc7da4a743,SODA-A,01543__800__3000___1200,18,crops/59856cbc7da4a743.jpg,,,,
m4-v3-e6479d43f0b9,A,285,bc6b570fd9218f1b,FAIR1M-v1.0,6750__1024__0___0,5,crops/bc6b570fd9218f1b.jpg,,,,
m4-v3-e6479d43f0b9,A,286,39d54d6d8c886867,DIOR-R,11881,7,crops/39d54d6d8c886867.jpg,,,,
m4-v3-e6479d43f0b9,A,287,0c83b4ceead03ed5,DIOR-R,22588,20,crops/0c83b4ceead03ed5.jpg,,,,
m4-v3-e6479d43f0b9,A,288,26ad5b9bc0ac7efb,SODA-A,00572__800__1800___600,137,crops/26ad5b9bc0ac7efb.jpg,,,,
m4-v3-e6479d43f0b9,A,289,c3a4d71f5335a2ff,DIOR-R,16486,3,crops/c3a4d71f5335a2ff.jpg,,,,
m4-v3-e6479d43f0b9,A,290,d5417c111e0baf94,DIOR-R,23207,11,crops/d5417c111e0baf94.jpg,,,,
m4-v3-e6479d43f0b9,A,291,71a053f7358963c2,FAIR1M-v1.0,1719__1024__0___476,0,crops/71a053f7358963c2.jpg,,,,
m4-v3-e6479d43f0b9,A,292,f9c0a218de88a128,SODA-A,00936__800__1200___1200,138,crops/f9c0a218de88a128.jpg,,,,
m4-v3-e6479d43f0b9,A,293,fffc94bfd07a33af,SODA-A,00120__800__2400___600,425,crops/fffc94bfd07a33af.jpg,,,,
m4-v3-e6479d43f0b9,A,294,1573ae53686f1f51,SODA-A,00820__800__3000___1200,272,crops/1573ae53686f1f51.jpg,,,,
m4-v3-e6479d43f0b9,A,295,70957c6319149032,SODA-A,00283__800__3907___1200,141,crops/70957c6319149032.jpg,,,,
m4-v3-e6479d43f0b9,A,296,1ce2a518edcc66a2,DIOR-R,23245,5,crops/1ce2a518edcc66a2.jpg,,,,
m4-v3-e6479d43f0b9,A,297,0477e5c99b8cd6a4,DIOR-R,22091,13,crops/0477e5c99b8cd6a4.jpg,,,,
m4-v3-e6479d43f0b9,A,298,591c121c230b8895,SODA-A,01795__800__1200___1200,128,crops/591c121c230b8895.jpg,,,,
m4-v3-e6479d43f0b9,A,299,a4e7e04db2cda49f,FAIR1M-v1.0,14498__1024__0___0,211,crops/a4e7e04db2cda49f.jpg,,,,
m4-v3-e6479d43f0b9,A,300,9aab655a9f5db6c7,DIOR-R,15084,0,crops/9aab655a9f5db6c7.jpg,,,,
m4-v3-e6479d43f0b9,A,301,5e34612daaf1efa6,FAIR1M-v1.0,5004__1024__0___0,4,crops/5e34612daaf1efa6.jpg,,,,
m4-v3-e6479d43f0b9,A,302,63972182c9764635,SODA-A,01519__800__1200___1800,7,crops/63972182c9764635.jpg,,,,
m4-v3-e6479d43f0b9,A,303,3574195ead613b7c,FAIR1M-v1.0,1893__1024__0___0,43,crops/3574195ead613b7c.jpg,,,,
m4-v3-e6479d43f0b9,A,304,ca8653f7e7ea25a4,FAIR1M-v1.0,15829__1024__0___0,31,crops/ca8653f7e7ea25a4.jpg,,,,
m4-v3-e6479d43f0b9,A,305,6cbbbac6eb1e3d31,DIOR-R,16105,43,crops/6cbbbac6eb1e3d31.jpg,,,,
m4-v3-e6479d43f0b9,A,306,263935fbaad96979,SODA-A,00252__800__3600___1928,0,crops/263935fbaad96979.jpg,,,,
m4-v3-e6479d43f0b9,A,307,7467fc56d0b3bf45,DIOR-R,23211,11,crops/7467fc56d0b3bf45.jpg,,,,
m4-v3-e6479d43f0b9,A,308,4bcdb78ad969ed32,SODA-A,01566__800__0___1800,2,crops/4bcdb78ad969ed32.jpg,,,,
m4-v3-e6479d43f0b9,A,309,68a5b9eeb1980971,DIOR-R,18442,61,crops/68a5b9eeb1980971.jpg,,,,
m4-v3-e6479d43f0b9,A,310,484298b788ad8399,FAIR1M-v1.0,11341__1024__0___0,12,crops/484298b788ad8399.jpg,,,,
m4-v3-e6479d43f0b9,A,311,b7b37a468edda06d,SODA-A,02061__800__0___0,183,crops/b7b37a468edda06d.jpg,,,,
m4-v3-e6479d43f0b9,A,312,8643c875c74146b7,SODA-A,01757__800__3000___0,114,crops/8643c875c74146b7.jpg,,,,
m4-v3-e6479d43f0b9,A,313,64becf2aa5764ac2,DIOR-R,18382,14,crops/64becf2aa5764ac2.jpg,,,,
m4-v3-e6479d43f0b9,A,314,a055b177f341f161,SODA-A,01468__800__3600___1800,0,crops/a055b177f341f161.jpg,,,,
m4-v3-e6479d43f0b9,A,315,b63fad7f520cf089,FAIR1M-v1.0,13167__1024__0___0,28,crops/b63fad7f520cf089.jpg,,,,
m4-v3-e6479d43f0b9,A,316,ee6ae637898dd9ed,SODA-A,01795__800__2400___0,3,crops/ee6ae637898dd9ed.jpg,,,,
m4-v3-e6479d43f0b9,A,317,e7fa3e69604e418d,FAIR1M-v1.0,5875__1024__0___0,0,crops/e7fa3e69604e418d.jpg,,,,
m4-v3-e6479d43f0b9,A,318,71fbab781a724e9d,DIOR-R,21290,13,crops/71fbab781a724e9d.jpg,,,,
m4-v3-e6479d43f0b9,A,319,63934fdf7f78307c,SODA-A,01287__800__0___0,78,crops/63934fdf7f78307c.jpg,,,,
m4-v3-e6479d43f0b9,A,320,ccdf1d4c28376c63,FAIR1M-v1.0,6225__1024__0___0,67,crops/ccdf1d4c28376c63.jpg,,,,
m4-v3-e6479d43f0b9,A,321,82f48a7d34c9ee2f,DIOR-R,19310,15,crops/82f48a7d34c9ee2f.jpg,,,,
m4-v3-e6479d43f0b9,A,322,f456163a40784f39,SODA-A,00825__800__600___0,77,crops/f456163a40784f39.jpg,,,,
m4-v3-e6479d43f0b9,A,323,a1313131cfd28701,SODA-A,01251__800__2400___0,116,crops/a1313131cfd28701.jpg,,,,
m4-v3-e6479d43f0b9,A,324,043ca8c1967538ae,SODA-A,00967__800__4000___600,63,crops/043ca8c1967538ae.jpg,,,,
m4-v3-e6479d43f0b9,A,325,d883bb186cbefeeb,FAIR1M-v1.0,12297__1024__0___0,0,crops/d883bb186cbefeeb.jpg,,,,
m4-v3-e6479d43f0b9,A,326,355f3c0ed4bd59f0,DIOR-R,18716,7,crops/355f3c0ed4bd59f0.jpg,,,,
m4-v3-e6479d43f0b9,A,327,6a11f7455484d541,DIOR-R,12551,0,crops/6a11f7455484d541.jpg,,,,
m4-v3-e6479d43f0b9,A,328,3c00a707c37fd583,SODA-A,00051__800__1200___1985,15,crops/3c00a707c37fd583.jpg,,,,
m4-v3-e6479d43f0b9,A,329,5086b693a70886d6,FAIR1M-v1.0,15750__1024__0___0,27,crops/5086b693a70886d6.jpg,,,,
m4-v3-e6479d43f0b9,A,330,ca24e2bd9db17827,DIOR-R,11853,1,crops/ca24e2bd9db17827.jpg,,,,
m4-v3-e6479d43f0b9,A,331,0794b11a5adfe70e,SODA-A,01407__800__3000___1200,23,crops/0794b11a5adfe70e.jpg,,,,
m4-v3-e6479d43f0b9,A,332,9b0c72e5d72bddcb,SODA-A,01325__800__600___1200,8,crops/9b0c72e5d72bddcb.jpg,,,,
m4-v3-e6479d43f0b9,A,333,3eebad896324734f,FAIR1M-v1.0,10886__1024__0___0,23,crops/3eebad896324734f.jpg,,,,
m4-v3-e6479d43f0b9,A,334,c957686717cdbfa2,DIOR-R,19208,0,crops/c957686717cdbfa2.jpg,,,,
m4-v3-e6479d43f0b9,A,335,6126ad83ebff5bce,SODA-A,01939__800__1200___1985,5,crops/6126ad83ebff5bce.jpg,,,,
m4-v3-e6479d43f0b9,A,336,f328707585b6ed60,DIOR-R,18243,1,crops/f328707585b6ed60.jpg,,,,
m4-v3-e6479d43f0b9,A,337,72535ceb0b865f98,DIOR-R,17833,2,crops/72535ceb0b865f98.jpg,,,,
m4-v3-e6479d43f0b9,A,338,fca20281ab0b6eaa,SODA-A,00726__800__2400___1985,6,crops/fca20281ab0b6eaa.jpg,,,,
m4-v3-e6479d43f0b9,A,339,1fd675118651ba92,DIOR-R,14853,16,crops/1fd675118651ba92.jpg,,,,
m4-v3-e6479d43f0b9,A,340,076d64869e95a5c2,SODA-A,02114__800__3955___1800,66,crops/076d64869e95a5c2.jpg,,,,
m4-v3-e6479d43f0b9,A,341,65a22b6403286ca1,FAIR1M-v1.0,14575__1024__0___0,45,crops/65a22b6403286ca1.jpg,,,,
m4-v3-e6479d43f0b9,A,342,8dcbee2dac69101c,FAIR1M-v1.0,5278__1024__0___0,63,crops/8dcbee2dac69101c.jpg,,,,
m4-v3-e6479d43f0b9,A,343,64a57ac0ac7a0c14,SODA-A,02061__800__4000___0,20,crops/64a57ac0ac7a0c14.jpg,,,,
m4-v3-e6479d43f0b9,A,344,e1bece22e410dd0f,DIOR-R,19917,49,crops/e1bece22e410dd0f.jpg,,,,
m4-v3-e6479d43f0b9,A,345,9006bb10fade0147,DIOR-R,20238,10,crops/9006bb10fade0147.jpg,,,,
m4-v3-e6479d43f0b9,A,346,1ade33eb8117030d,FAIR1M-v1.0,14498__1024__0___0,192,crops/1ade33eb8117030d.jpg,,,,
m4-v3-e6479d43f0b9,A,347,1a1715d714bacf6f,FAIR1M-v1.0,8684__1024__0___0,62,crops/1a1715d714bacf6f.jpg,,,,
m4-v3-e6479d43f0b9,A,348,6bb1a65609b41cad,FAIR1M-v1.0,12918__1024__0___0,0,crops/6bb1a65609b41cad.jpg,,,,
m4-v3-e6479d43f0b9,A,349,b293c1b40edf40fc,FAIR1M-v1.0,16139__1024__0___0,41,crops/b293c1b40edf40fc.jpg,,,,
m4-v3-e6479d43f0b9,A,350,8f9579cf2f7c3272,DIOR-R,14260,117,crops/8f9579cf2f7c3272.jpg,,,,
m4-v3-e6479d43f0b9,A,351,6b885cd5147d59a3,DIOR-R,14648,39,crops/6b885cd5147d59a3.jpg,,,,
m4-v3-e6479d43f0b9,A,352,0c7ee370dc8e3fa1,SODA-A,00988__800__3600___600,302,crops/0c7ee370dc8e3fa1.jpg,,,,
m4-v3-e6479d43f0b9,A,353,c84fcbe787c656f3,SODA-A,02455__800__2400___600,96,crops/c84fcbe787c656f3.jpg,,,,
m4-v3-e6479d43f0b9,A,354,b140426eb534bc5f,DIOR-R,12857,149,crops/b140426eb534bc5f.jpg,,,,
m4-v3-e6479d43f0b9,A,355,681d06a56e39356e,SODA-A,00283__800__1800___1974,322,crops/681d06a56e39356e.jpg,,,,
m4-v3-e6479d43f0b9,A,356,0a732cd741f35e99,FAIR1M-v1.0,12989__1024__0___0,11,crops/0a732cd741f35e99.jpg,,,,
m4-v3-e6479d43f0b9,A,357,ae5383f9df259c3c,SODA-A,01310__800__3000___1200,22,crops/ae5383f9df259c3c.jpg,,,,
m4-v3-e6479d43f0b9,A,358,a76cf38f4d890393,SODA-A,01575__800__3000___1800,11,crops/a76cf38f4d890393.jpg,,,,
m4-v3-e6479d43f0b9,A,359,09d998563bba41ff,SODA-A,01603__800__3000___0,8,crops/09d998563bba41ff.jpg,,,,
m4-v3-e6479d43f0b9,A,360,c6c873b2be3ea780,DIOR-R,15880,112,crops/c6c873b2be3ea780.jpg,,,,
m4-v3-e6479d43f0b9,A,361,6b136b5f4ab338b6,SODA-A,00658__800__1200___0,17,crops/6b136b5f4ab338b6.jpg,,,,
m4-v3-e6479d43f0b9,A,362,05ec5cd233287b35,FAIR1M-v1.0,15998__1024__0___0,18,crops/05ec5cd233287b35.jpg,,,,
m4-v3-e6479d43f0b9,A,363,27959531b13e3bc8,SODA-A,01885__800__3000___1800,19,crops/27959531b13e3bc8.jpg,,,,
m4-v3-e6479d43f0b9,A,364,61678f8d054d3992,SODA-A,02186__800__600___1985,3,crops/61678f8d054d3992.jpg,,,,
m4-v3-e6479d43f0b9,A,365,e7724176526d2a6f,DIOR-R,12035,75,crops/e7724176526d2a6f.jpg,,,,
m4-v3-e6479d43f0b9,A,366,2d5f5df4f0508661,SODA-A,01600__800__3942___0,28,crops/2d5f5df4f0508661.jpg,,,,
m4-v3-e6479d43f0b9,A,367,fbe650b1bdf5daa4,DIOR-R,21867,6,crops/fbe650b1bdf5daa4.jpg,,,,
m4-v3-e6479d43f0b9,A,368,b572312640da1b77,FAIR1M-v1.0,3715__1024__0___0,7,crops/b572312640da1b77.jpg,,,,
m4-v3-e6479d43f0b9,A,369,0f80c3f1e239f756,DIOR-R,17666,68,crops/0f80c3f1e239f756.jpg,,,,
m4-v3-e6479d43f0b9,A,370,182da0d2f4a19600,DIOR-R,15694,155,crops/182da0d2f4a19600.jpg,,,,
m4-v3-e6479d43f0b9,A,371,a7f21ba3c3a94289,FAIR1M-v1.0,8105__1024__0___0,159,crops/a7f21ba3c3a94289.jpg,,,,
m4-v3-e6479d43f0b9,A,372,86078e53ed95f643,SODA-A,00120__800__3600___1200,8,crops/86078e53ed95f643.jpg,,,,
m4-v3-e6479d43f0b9,A,373,ba2018c83df46d8c,DIOR-R,18337,37,crops/ba2018c83df46d8c.jpg,,,,
m4-v3-e6479d43f0b9,A,374,6ec3a99dd53d7764,DIOR-R,16116,5,crops/6ec3a99dd53d7764.jpg,,,,
m4-v3-e6479d43f0b9,A,375,cb646e24eb5b85b4,SODA-A,00198__800__1800___3486,107,crops/cb646e24eb5b85b4.jpg,,,,
m4-v3-e6479d43f0b9,A,376,52653c939e4c15ed,FAIR1M-v1.0,3176__1024__0___0,71,crops/52653c939e4c15ed.jpg,,,,
m4-v3-e6479d43f0b9,A,377,14356e47d25e909a,SODA-A,01587__800__0___1800,0,crops/14356e47d25e909a.jpg,,,,
m4-v3-e6479d43f0b9,A,378,c4c453504db7468b,SODA-A,01329__800__2400___1200,111,crops/c4c453504db7468b.jpg,,,,
m4-v3-e6479d43f0b9,A,379,323c850622ad711c,FAIR1M-v1.0,83__1024__0___0,35,crops/323c850622ad711c.jpg,,,,
m4-v3-e6479d43f0b9,A,380,f63fee758578539b,DIOR-R,12785,227,crops/f63fee758578539b.jpg,,,,
m4-v3-e6479d43f0b9,A,381,4259c112267072ab,SODA-A,00530__800__4000___1944,12,crops/4259c112267072ab.jpg,,,,
m4-v3-e6479d43f0b9,A,382,39ab1ee346764d87,FAIR1M-v1.0,8536__1024__0___0,9,crops/39ab1ee346764d87.jpg,,,,
m4-v3-e6479d43f0b9,A,383,69e98f035406c4bb,SODA-A,00283__800__3600___1800,188,crops/69e98f035406c4bb.jpg,,,,
m4-v3-e6479d43f0b9,A,384,fba241d6d35a9e6a,FAIR1M-v1.0,10787__1024__0___0,52,crops/fba241d6d35a9e6a.jpg,,,,
m4-v3-e6479d43f0b9,A,385,5185d95853c15334,SODA-A,00244__800__600___1985,23,crops/5185d95853c15334.jpg,,,,
m4-v3-e6479d43f0b9,A,386,80b49e709ed1cc5f,FAIR1M-v1.0,14603__1024__0___0,1,crops/80b49e709ed1cc5f.jpg,,,,
