image_id,gt_count,old_r011_n_pred,m069_n_pred,r014_identity_n_pred,r014_hflip_n_pred,r014_vflip_n_pred
11945__1024__0___0,19,168,168,168,197,150
11953__1024__0___0,2,28,28,28,23,21
11955__1024__0___0,16,169,169,169,170,169
11960__1024__0___0,6,153,153,153,162,147
11965__1024__0___0,2,24,24,24,24,24
1197__1024__0___0,25,265,265,265,276,250
11984__1024__0___0,36,257,257,257,264,254
11993__1024__0___0,1,20,20,20,29,32
11997__1024__0___0,9,121,121,121,134,105
11999__1024__0___0,8,107,107,107,111,106
12004__1024__0___0,9,68,68,68,73,68
12011__1024__0___0,1,6,6,6,3,4
12017__1024__0___0,1,7,7,7,7,7
12018__1024__0___0,5,79,79,79,69,84
12029__1024__0___0,3,34,34,34,30,37
12033__1024__0___0,4,81,81,81,81,87
12034__1024__0___0,2,25,25,25,30,26
12036__1024__0___0,1,9,9,9,6,10
12043__1024__0___0,126,338,338,338,344,354
1204__1024__0___0,200,523,523,523,512,526
12052__1024__0___0,3,67,67,67,62,69
12064__1024__0___0,1,9,9,9,8,7
12065__1024__0___0,16,323,323,323,303,334
1206__1024__0___0,1,39,39,39,44,41
1206__1024__0___476,2,45,45,45,56,39
1206__1024__476___0,0,MISSING,32,32,36,40
1206__1024__476___476,1,33,33,33,44,43
12070__1024__0___0,98,353,353,353,351,350
12074__1024__0___0,3,9,9,9,17,23
12079__1024__0___0,38,328,328,328,347,369
1207__1024__0___0,3,25,25,25,34,35
1207__1024__0___476,3,36,36,36,33,30
1207__1024__476___0,3,26,26,26,28,26
1207__1024__476___476,7,41,41,41,47,47
12088__1024__0___0,10,111,111,111,135,123
12097__1024__0___0,12,100,100,100,99,103
12103__1024__0___0,11,100,100,100,104,108
12108__1024__0___0,33,292,292,292,305,285
12119__1024__0___0,2,35,35,35,40,38
1211__1024__0___0,31,266,266,266,287,279
12127__1024__0___0,15,109,109,109,96,103
12129__1024__0___0,4,45,45,45,42,40
12132__1024__0___0,3,42,42,42,28,34
12136__1024__0___0,4,67,67,67,69,62
12139__1024__0___0,4,64,64,64,75,75
12148__1024__0___0,1,15,15,15,13,16
12150__1024__0___0,7,34,34,34,34,26
12150__1024__0___1648,0,MISSING,4,4,2,4
12150__1024__0___2472,0,MISSING,2,2,0,2
12150__1024__0___3296,0,MISSING,0,0,2,1
12150__1024__0___4120,0,MISSING,0,0,2,0
12150__1024__0___4944,0,MISSING,0,0,0,0
12150__1024__0___4976,0,MISSING,0,0,0,0
12150__1024__0___824,0,MISSING,8,8,10,4
12150__1024__1648___0,0,MISSING,10,10,11,11
12150__1024__1648___1648,4,40,40,40,42,44
12150__1024__1648___2472,3,28,28,28,32,24
12150__1024__1648___3296,2,6,6,6,4,4
12150__1024__1648___4120,1,2,2,2,1,2
12150__1024__1648___4944,0,MISSING,0,0,0,0
12150__1024__1648___4976,0,MISSING,0,0,0,0
12150__1024__1648___824,1,16,16,16,16,16
12150__1024__2472___0,0,MISSING,12,12,13,2
12150__1024__2472___1648,3,17,17,17,18,20
12150__1024__2472___2472,4,33,33,33,32,29
12150__1024__2472___3296,2,19,19,19,12,18
12150__1024__2472___4120,1,9,9,9,12,13
12150__1024__2472___4944,1,7,7,7,7,6
12150__1024__2472___4976,1,7,7,7,7,6
12150__1024__2472___824,0,MISSING,0,0,0,0
12150__1024__3296___0,0,MISSING,2,2,2,0
12150__1024__3296___1648,1,15,15,15,16,16
12150__1024__3296___2472,6,38,38,38,31,31
12150__1024__3296___3296,3,10,10,10,9,11
12150__1024__3296___4120,8,65,65,65,65,59
12150__1024__3296___4944,5,40,40,40,43,37
12150__1024__3296___4976,5,36,36,36,37,35
12150__1024__3296___824,0,MISSING,0,0,1,0
12150__1024__4120___0,0,MISSING,1,1,0,0
12150__1024__4120___1648,6,45,45,45,53,50
12150__1024__4120___2472,4,41,41,41,42,44
12150__1024__4120___3296,2,14,14,14,11,18
12150__1024__4120___4120,3,19,19,19,25,22
12150__1024__4120___4944,0,MISSING,7,7,8,6
12150__1024__4120___4976,0,MISSING,2,2,3,6
12150__1024__4120___824,0,MISSING,0,0,0,0
12150__1024__4944___0,0,MISSING,0,0,0,0
12150__1024__4944___1648,1,9,9,9,12,10
12150__1024__4944___2472,2,12,12,12,9,15
12150__1024__4944___3296,0,MISSING,1,1,0,4
12150__1024__4944___4120,0,MISSING,1,1,2,0
12150__1024__4944___4944,0,MISSING,1,1,1,2
12150__1024__4944___4976,0,MISSING,1,1,2,2
12150__1024__4944___824,0,MISSING,2,2,0,0
12150__1024__4976___0,0,MISSING,0,0,0,0
12150__1024__4976___1648,1,8,8,8,11,8
12150__1024__4976___2472,2,12,12,12,9,15
12150__1024__4976___3296,0,MISSING,1,1,0,4
12150__1024__4976___4120,0,MISSING,2,2,2,0
12150__1024__4976___4944,0,MISSING,2,2,2,2
12150__1024__4976___4976,0,MISSING,2,2,2,2
12150__1024__4976___824,0,MISSING,2,2,0,0
12150__1024__824___0,1,6,6,6,9,6
12150__1024__824___1648,1,18,18,18,17,16
12150__1024__824___2472,1,11,11,11,11,10
12150__1024__824___3296,1,15,15,15,17,13
12150__1024__824___4120,1,7,7,7,7,6
12150__1024__824___4944,0,MISSING,0,0,0,0
12150__1024__824___4976,0,MISSING,0,0,0,0
12150__1024__824___824,1,21,21,21,21,19
12154__1024__0___0,1,21,21,21,34,28
12156__1024__0___0,4,46,46,46,33,39
12178__1024__0___0,2,18,18,18,17,12
12193__1024__0___0,7,125,125,125,129,130
12196__1024__0___0,10,76,76,76,77,82
12197__1024__0___0,2,15,15,15,16,15
12198__1024__0___0,48,286,286,286,296,274
1219__1024__0___0,2,17,17,17,17,15
1219__1024__0___476,6,38,38,38,31,30
1219__1024__476___0,6,44,44,44,42,43
1219__1024__476___476,10,72,72,72,62,63
121__1024__0___0,166,431,431,431,427,417
12201__1024__0___0,80,307,307,307,322,325
12206__1024__0___0,8,90,90,90,95,92
12211__1024__0___0,5,51,51,51,45,63
12214__1024__0___0,2,7,7,7,9,11
12221__1024__0___0,1,17,17,17,14,15
12222__1024__0___0,53,284,284,284,290,283
12226__1024__0___0,237,631,631,631,640,658
12228__1024__0___0,6,97,97,97,97,81
12254__1024__0___0,23,217,217,217,223,207
12257__1024__0___0,4,49,49,49,46,54
12260__1024__0___0,1,26,26,26,30,29
12265__1024__0___0,33,204,204,204,210,202
12269__1024__0___0,5,80,80,80,76,79
1226__1024__0___0,281,748,748,748,772,750
12271__1024__0___0,8,163,163,163,152,147
12276__1024__0___0,4,47,47,47,46,43
12284__1024__0___0,11,94,94,94,81,94
12285__1024__0___0,1,6,6,6,6,7
12295__1024__0___0,3,59,59,59,48,33
12297__1024__0___0,33,314,314,314,315,315
12300__1024__0___0,7,48,48,48,46,53
12301__1024__0___0,7,39,39,39,44,46
12314__1024__0___0,14,169,169,169,180,148
12317__1024__0___0,10,61,61,61,48,55
12320__1024__0___0,22,287,287,287,291,290
12321__1024__0___0,7,75,75,75,87,78
12328__1024__0___0,3,42,42,42,36,37
12331__1024__0___0,138,414,414,414,397,410
12339__1024__0___0,5,88,88,88,86,73
12352__1024__0___0,13,273,273,273,267,254
12359__1024__0___0,5,51,51,51,53,52
1235__1024__0___0,148,452,452,452,444,446
12367__1024__0___0,46,310,310,310,317,338
12369__1024__0___0,19,111,111,111,104,114
12370__1024__0___0,4,57,57,57,57,57
12372__1024__0___0,2,15,15,15,11,17
12375__1024__0___0,61,293,293,293,281,289
12377__1024__0___0,1,12,12,12,11,11
1237__1024__0___0,4,49,49,49,48,52
12381__1024__0___0,7,73,73,73,73,67
12385__1024__0___0,1,21,21,21,13,14
12386__1024__0___0,1,22,22,22,13,16
12394__1024__0___0,16,196,196,196,227,183
12406__1024__0___0,20,103,103,103,111,103
1240__1024__0___0,25,195,195,195,186,208
12419__1024__0___0,2,49,49,49,64,49
12420__1024__0___0,2,15,15,15,15,12
12421__1024__0___0,7,72,72,72,58,79
12425__1024__0___0,6,104,104,104,118,108
12428__1024__0___0,5,57,57,57,59,51
12432__1024__0___0,13,134,134,134,140,147
12442__1024__0___0,4,59,59,59,63,61
1244__1024__0___0,2,35,35,35,36,34
12450__1024__0___0,11,253,253,253,256,266
1247__1024__0___0,3,15,15,15,15,15
1247__1024__0___476,1,19,19,19,18,15
1247__1024__476___0,3,21,21,21,20,23
1247__1024__476___476,3,30,30,30,31,37
12480__1024__0___0,6,79,79,79,75,74
12481__1024__0___0,0,MISSING,0,0,0,0
12481__1024__0___1648,3,27,27,27,33,28
12481__1024__0___2472,2,13,13,13,11,13
12481__1024__0___3296,3,23,23,23,23,25
12481__1024__0___4120,1,8,8,8,8,10
12481__1024__0___4944,0,MISSING,0,0,0,1
12481__1024__0___4976,0,MISSING,0,0,0,1
12481__1024__0___824,0,MISSING,10,10,13,12
12481__1024__1648___0,2,24,24,24,19,21
12481__1024__1648___1648,0,MISSING,0,0,0,0
12481__1024__1648___2472,2,7,7,7,11,7
12481__1024__1648___3296,1,5,5,5,6,7
12481__1024__1648___4120,1,8,8,8,4,7
12481__1024__1648___4944,1,5,5,5,2,2
12481__1024__1648___4976,1,5,5,5,5,4
12481__1024__1648___824,0,MISSING,7,7,11,3
12481__1024__2472___0,0,MISSING,13,13,9,8
12481__1024__2472___1648,0,MISSING,0,0,0,0
12481__1024__2472___2472,0,MISSING,0,0,0,0
12481__1024__2472___3296,0,MISSING,0,0,0,0
12481__1024__2472___4120,1,3,3,3,2,3
12481__1024__2472___4944,0,MISSING,1,1,2,3
12481__1024__2472___4976,0,MISSING,1,1,2,3
12481__1024__2472___824,2,24,24,24,31,27
12481__1024__3296___0,33,200,200,200,236,194
12481__1024__3296___1648,0,MISSING,0,0,2,1
12481__1024__3296___2472,0,MISSING,9,9,13,9
12481__1024__3296___3296,0,MISSING,0,0,0,0
12481__1024__3296___4120,0,MISSING,0,0,0,0
12481__1024__3296___4944,0,MISSING,0,0,0,0
12481__1024__3296___4976,0,MISSING,0,0,0,0
12481__1024__3296___824,1,18,18,18,15,18
12481__1024__4120___0,2,15,15,15,17,14
12481__1024__4120___1648,0,MISSING,7,7,7,2
12481__1024__4120___2472,0,MISSING,33,33,9,22
12481__1024__4120___3296,0,MISSING,0,0,0,0
12481__1024__4120___4120,0,MISSING,0,0,0,0
12481__1024__4120___4944,0,MISSING,0,0,0,0
12481__1024__4120___4976,0,MISSING,0,0,0,0
12481__1024__4120___824,1,9,9,9,10,9
12481__1024__4944___0,0,MISSING,0,0,0,0
12481__1024__4944___1648,1,16,16,16,9,14
12481__1024__4944___2472,0,MISSING,0,0,0,0
12481__1024__4944___3296,0,MISSING,0,0,0,0
12481__1024__4944___4120,0,MISSING,0,0,0,0
12481__1024__4944___4944,0,MISSING,0,0,0,0
12481__1024__4944___4976,0,MISSING,0,0,0,0
12481__1024__4944___824,0,MISSING,13,13,14,15
12481__1024__4976___0,0,MISSING,0,0,0,0
12481__1024__4976___1648,1,16,16,16,9,17
12481__1024__4976___2472,0,MISSING,0,0,0,0
12481__1024__4976___3296,0,MISSING,0,0,0,0
12481__1024__4976___4120,0,MISSING,0,0,0,0
12481__1024__4976___4944,0,MISSING,0,0,0,0
12481__1024__4976___4976,0,MISSING,0,0,0,0
12481__1024__4976___824,0,MISSING,13,13,12,15
12481__1024__824___0,0,MISSING,38,38,24,28
12481__1024__824___1648,0,MISSING,0,0,0,0
12481__1024__824___2472,1,7,7,7,7,7
12481__1024__824___3296,2,16,16,16,20,16
12481__1024__824___4120,2,15,15,15,15,16
12481__1024__824___4944,0,MISSING,1,1,0,0
12481__1024__824___4976,0,MISSING,1,1,0,0
12481__1024__824___824,0,MISSING,6,6,5,2
12485__1024__0___0,2,21,21,21,19,19
12489__1024__0___0,1,17,17,17,12,15
12498__1024__0___0,3,46,46,46,46,54
12505__1024__0___0,1,3,3,3,3,3
12506__1024__0___0,24,338,338,338,327,329
12508__1024__0___0,2,17,17,17,14,13
1250__1024__0___0,169,525,525,525,528,547
12513__1024__0___0,9,85,85,85,84,81
12522__1024__0___0,1,48,48,48,37,40
12529__1024__0___0,1,15,15,15,9,16
1252__1024__0___0,67,298,298,298,316,305
1252__1024__0___476,117,376,376,376,378,381
1252__1024__476___0,61,326,326,326,345,334
1252__1024__476___476,68,338,338,338,344,340
12541__1024__0___0,11,219,219,219,242,234
12547__1024__0___0,3,10,10,10,25,11
12548__1024__0___0,7,85,85,85,94,84
12550__1024__0___0,27,233,233,233,225,218
12552__1024__0___0,9,85,85,85,80,82
12557__1024__0___0,174,626,626,626,631,603
12558__1024__0___0,1,13,13,13,7,8
12560__1024__0___0,5,44,44,44,50,47
12561__1024__0___0,9,53,53,53,76,61
12565__1024__0___0,2,25,25,25,33,27
12570__1024__0___0,2,23,23,23,26,24
12571__1024__0___0,1,2,2,2,3,5
12576__1024__0___0,3,64,64,64,62,57
12580__1024__0___0,1,17,17,17,14,13
12583__1024__0___0,9,87,87,87,94,85
12588__1024__0___0,10,140,140,140,148,115
12591__1024__0___0,2,27,27,27,27,24
12592__1024__0___0,3,31,31,31,25,26
12596__1024__0___0,29,269,269,269,240,260
12598__1024__0___0,1,19,19,19,16,16
12601__1024__0___0,2,32,32,32,31,32
12607__1024__0___0,182,578,578,578,562,564
12611__1024__0___0,2,34,34,34,32,33
12616__1024__0___0,1,9,9,9,12,9
12621__1024__0___0,81,286,286,286,294,290
12624__1024__0___0,3,56,56,56,56,65
12625__1024__0___0,1,16,16,16,14,20
12626__1024__0___0,5,70,70,70,76,77
12629__1024__0___0,1,17,17,17,16,17
12633__1024__0___0,1,14,14,14,14,17
12636__1024__0___0,1,10,10,10,9,8
12641__1024__0___0,6,106,106,106,101,113
12647__1024__0___0,102,404,404,404,405,423
12648__1024__0___0,114,401,401,401,402,393
12652__1024__0___0,2,11,11,11,11,12
12654__1024__0___0,5,44,44,44,43,49
12659__1024__0___0,1,11,11,11,10,11
12661__1024__0___0,4,55,55,55,54,62
12666__1024__0___0,54,275,275,275,255,271
12667__1024__0___0,56,272,272,272,277,273
1266__1024__0___0,13,65,65,65,60,61
12675__1024__0___0,34,248,248,248,226,240
12678__1024__0___0,2,34,34,34,33,27
12689__1024__0___0,1,36,36,36,16,3
12692__1024__0___0,100,348,348,348,377,363
12701__1024__0___0,14,102,102,102,99,93
12704__1024__0___0,5,79,79,79,70,82
12726__1024__0___0,13,206,206,206,188,188
12733__1024__0___0,10,129,129,129,135,116
12739__1024__0___0,8,173,173,173,102,148
12741__1024__0___0,86,362,362,362,372,365
1274__1024__0___0,67,338,338,338,315,346
12756__1024__0___0,7,105,105,105,107,98
12758__1024__0___0,6,95,95,95,88,82
12760__1024__0___0,6,51,51,51,48,57
12761__1024__0___0,28,79,79,79,84,91
12762__1024__0___0,103,400,400,400,402,407
12765__1024__0___0,14,104,104,104,95,99
12768__1024__0___0,39,269,269,269,277,283
12780__1024__0___0,7,56,56,56,61,58
12782__1024__0___0,5,37,37,37,32,33
12783__1024__0___0,6,60,60,60,52,58
12785__1024__0___0,45,254,254,254,249,268
12794__1024__0___0,13,95,95,95,92,98
12797__1024__0___0,8,75,75,75,74,80
12802__1024__0___0,5,35,35,35,36,29
12806__1024__0___0,1,18,18,18,16,16
12807__1024__0___0,32,255,255,255,225,245
12808__1024__0___0,2,11,11,11,12,14
12808__1024__0___824,2,13,13,13,12,14
12808__1024__0___976,2,12,12,12,12,16
12808__1024__824___0,2,3,3,3,3,4
12808__1024__824___824,2,12,12,12,11,9
12808__1024__824___976,2,12,12,12,8,9
12808__1024__976___0,2,3,3,3,2,3
12808__1024__976___824,3,12,12,12,11,10
12808__1024__976___976,3,13,13,13,10,9
12818__1024__0___0,2,37,37,37,39,38
12824__1024__0___0,35,188,188,188,197,207
12825__1024__0___0,8,53,53,53,54,53
12827__1024__0___0,5,49,49,49,42,49
12828__1024__0___0,1,9,9,9,9,10
12829__1024__0___0,3,28,28,28,25,28
1282__1024__0___0,21,192,192,192,197,169
12837__1024__0___0,2,31,31,31,33,32
12838__1024__0___0,39,346,346,346,343,345
12839__1024__0___0,1,3,3,3,3,3
1283__1024__0___0,0,MISSING,2,2,3,1
1283__1024__0___476,1,12,12,12,15,14
1283__1024__476___0,0,MISSING,4,4,2,3
1283__1024__476___476,0,MISSING,4,4,4,5
12840__1024__0___0,2,23,23,23,25,25
12841__1024__0___0,35,296,296,296,319,312
12844__1024__0___0,17,152,152,152,139,164
12847__1024__0___0,9,136,136,136,108,124
12849__1024__0___0,0,MISSING,0,0,0,0
12849__1024__0___824,0,MISSING,0,0,0,0
12849__1024__0___976,0,MISSING,0,0,0,0
12849__1024__824___0,2,20,20,20,18,22
12849__1024__824___824,1,10,10,10,9,10
12849__1024__824___976,0,MISSING,0,0,0,0
12849__1024__976___0,2,19,19,19,18,21
12849__1024__976___824,1,10,10,10,9,10
12849__1024__976___976,0,MISSING,0,0,0,0
1285__1024__0___0,2,30,30,30,28,24
12860__1024__0___0,10,158,158,158,151,162
12863__1024__0___0,5,71,71,71,54,58
12867__1024__0___0,3,60,60,60,55,57
12868__1024__0___0,4,41,41,41,48,47
12875__1024__0___0,3,26,26,26,25,20
12878__1024__0___0,2,39,39,39,39,38
12882__1024__0___0,6,45,45,45,45,44
12883__1024__0___0,6,53,53,53,53,53
12885__1024__0___0,4,37,37,37,49,47
1288__1024__0___0,2,16,16,16,18,21
1288__1024__0___476,1,8,8,8,9,8
1288__1024__476___0,3,29,29,29,36,21
1288__1024__476___476,2,11,11,11,19,10
12897__1024__0___0,3,15,15,15,11,11
12897__1024__0___824,0,MISSING,4,4,6,1
12897__1024__0___976,0,MISSING,0,0,3,1
12897__1024__824___0,1,8,8,8,18,12
12897__1024__824___824,1,12,12,12,18,15
12897__1024__824___976,2,17,17,17,22,20
12897__1024__976___0,1,18,18,18,27,22
12897__1024__976___824,1,17,17,17,20,18
12897__1024__976___976,2,21,21,21,25,20
12909__1024__0___0,1,14,14,14,14,12
1290__1024__0___0,48,320,320,320,314,321
12910__1024__0___0,8,82,82,82,92,87
12912__1024__0___0,1,154,154,154,123,93
12913__1024__0___0,4,63,63,63,50,58
12915__1024__0___0,85,346,346,346,359,344
12917__1024__0___0,8,42,42,42,39,45
12918__1024__0___0,40,232,232,232,246,238
12925__1024__0___0,50,273,273,273,300,277
12926__1024__0___0,8,168,168,168,158,170
12928__1024__0___0,2,26,26,26,22,25
12930__1024__0___0,8,75,75,75,81,79
12945__1024__0___0,4,23,23,23,41,29
12946__1024__0___0,16,268,268,268,258,265
12951__1024__0___0,4,20,20,20,20,17
12952__1024__0___0,26,312,312,312,267,294
12961__1024__0___0,15,100,100,100,89,85
12971__1024__0___0,3,53,53,53,52,45
12978__1024__0___0,1,12,12,12,13,15
12980__1024__0___0,20,139,139,139,140,143
12984__1024__0___0,6,65,65,65,60,56
12988__1024__0___0,4,60,60,60,59,65
12989__1024__0___0,45,131,131,131,128,126
12990__1024__0___0,3,43,43,43,45,38
12998__1024__0___0,8,60,60,60,60,68
13011__1024__0___0,25,155,155,155,160,150
13015__1024__0___0,2,23,23,23,23,22
13018__1024__0___0,7,89,89,89,78,82
13022__1024__0___0,9,61,61,61,59,55
13026__1024__0___0,10,81,81,81,75,76
13037__1024__0___0,3,54,54,54,52,56
13038__1024__0___0,85,333,333,333,317,333
13077__1024__0___0,1,6,6,6,6,5
13081__1024__0___0,3,30,30,30,32,34
13092__1024__0___0,3,40,40,40,42,31
13093__1024__0___0,2,8,8,8,7,9
13098__1024__0___0,1,19,19,19,20,13
13099__1024__0___0,3,70,70,70,74,82
1309__1024__0___0,95,373,373,373,372,376
130__1024__0___0,8,87,87,87,75,79
130__1024__0___476,25,186,186,186,187,199
130__1024__476___0,13,184,184,184,154,171
130__1024__476___476,26,199,199,199,190,207
13100__1024__0___0,8,53,53,53,50,65
13104__1024__0___0,128,425,425,425,408,426
13107__1024__0___0,1,9,9,9,6,10
1310__1024__0___0,7,62,62,62,58,53
13113__1024__0___0,3,51,51,51,66,47
1311__1024__0___0,1,17,17,17,18,19
13124__1024__0___0,10,71,71,71,50,66
13125__1024__0___0,2,26,26,26,26,30
13128__1024__0___0,5,92,92,92,114,88
1313__1024__0___0,0,MISSING,6,6,7,5
1313__1024__0___476,0,MISSING,1,1,0,0
1313__1024__476___0,0,MISSING,11,11,7,7
1313__1024__476___476,1,8,8,8,4,7
13143__1024__0___0,6,48,48,48,46,41
13147__1024__0___0,16,150,150,150,154,157
13155__1024__0___0,7,64,64,64,68,62
13156__1024__0___0,2,196,196,196,156,205
13159__1024__0___0,57,358,358,358,352,352
13160__1024__0___0,1,38,38,38,44,37
13167__1024__0___0,10,235,235,235,202,240
13173__1024__0___0,6,72,72,72,67,69
13175__1024__0___0,3,40,40,40,34,38
13176__1024__0___0,10,76,76,76,78,77
13179__1024__0___0,2,24,24,24,19,17
13187__1024__0___0,78,358,358,358,346,359
13192__1024__0___0,2,27,27,27,34,36
13199__1024__0___0,2,34,34,34,36,34
13200__1024__0___0,64,351,351,351,343,345
13201__1024__0___0,10,92,92,92,89,94
13215__1024__0___0,49,359,359,359,351,368
1321__1024__0___0,0,MISSING,0,0,0,0
1321__1024__0___476,0,MISSING,0,0,0,0
1321__1024__476___0,0,MISSING,2,2,2,4
1321__1024__476___476,1,10,10,10,9,8
13221__1024__0___0,111,347,347,347,333,362
13225__1024__0___0,1,23,23,23,23,23
13226__1024__0___0,9,155,155,155,147,153
13235__1024__0___0,10,91,91,91,82,82
13236__1024__0___0,7,64,64,64,58,66
13237__1024__0___0,5,73,73,73,72,76
13238__1024__0___0,13,146,146,146,139,161
13239__1024__0___0,6,76,76,76,84,95
13242__1024__0___0,10,29,29,29,23,24
13244__1024__0___0,6,37,37,37,38,40
1324__1024__0___0,167,467,467,467,482,471
13250__1024__0___0,13,187,187,187,202,203
13253__1024__0___0,14,90,90,90,87,93
13255__1024__0___0,39,286,286,286,286,286
1325__1024__0___0,12,91,91,91,92,79
13262__1024__0___0,8,80,80,80,77,93
13268__1024__0___0,1,9,9,9,9,13
13273__1024__0___0,4,57,57,57,64,66
13286__1024__0___0,1,13,13,13,9,5
13287__1024__0___0,56,287,287,287,290,301
13300__1024__0___0,4,142,142,142,83,148
13302__1024__0___0,5,49,49,49,51,49
13303__1024__0___0,5,43,43,43,38,53
1330__1024__0___0,12,294,294,294,200,268
13312__1024__0___0,12,367,367,367,381,384
13316__1024__0___0,29,311,311,311,318,290
13319__1024__0___0,1,22,22,22,18,20
13321__1024__0___0,1,8,8,8,9,8
13330__1024__0___0,3,25,25,25,31,28
13332__1024__0___0,78,299,299,299,303,303
13333__1024__0___0,70,295,295,295,297,295
13335__1024__0___0,1,15,15,15,14,13
13340__1024__0___0,2,32,32,32,29,30
13342__1024__0___0,105,425,425,425,430,432
13345__1024__0___0,6,79,79,79,83,79
13346__1024__0___0,1,7,7,7,6,7
13351__1024__0___0,1,20,20,20,21,22
13358__1024__0___0,23,268,268,268,234,234
13363__1024__0___0,1,37,37,37,36,32
13365__1024__0___0,10,55,55,55,53,55
13366__1024__0___0,7,47,47,47,45,53
13369__1024__0___0,41,232,232,232,236,236
13374__1024__0___0,50,250,250,250,233,235
13376__1024__0___0,35,261,261,261,286,268
13385__1024__0___0,25,197,197,197,210,209
13394__1024__0___0,1,26,26,26,22,20
1339__1024__0___0,6,56,56,56,50,50
13405__1024__0___0,5,65,65,65,69,75
1340__1024__0___0,123,388,388,388,377,388
13418__1024__0___0,17,115,115,115,127,148
13419__1024__0___0,2,43,43,43,43,35
13426__1024__0___0,20,232,232,232,240,233
13427__1024__0___0,128,469,469,469,448,441
13438__1024__0___0,6,74,74,74,72,74
13439__1024__0___0,12,94,94,94,104,90
13439__1024__0___824,6,26,26,26,27,25
13439__1024__0___976,6,25,25,25,31,27
13439__1024__824___0,8,67,67,67,68,77
13439__1024__824___824,3,20,20,20,20,24
13439__1024__824___976,2,13,13,13,20,17
13439__1024__976___0,7,58,58,58,63,69
13439__1024__976___824,2,15,15,15,13,15
13439__1024__976___976,1,11,11,11,11,14
13441__1024__0___0,3,51,51,51,35,40
13445__1024__0___0,112,360,360,360,352,361
13446__1024__0___0,4,28,28,28,30,28
13460__1024__0___0,18,110,110,110,105,103
13470__1024__0___0,80,323,323,323,338,342
13477__1024__0___0,4,125,125,125,234,136
13481__1024__0___0,111,402,402,402,403,418
13483__1024__0___0,9,104,104,104,103,98
13490__1024__0___0,22,180,180,180,185,198
13491__1024__0___0,4,52,52,52,57,55
13494__1024__0___0,1,11,11,11,16,19
13499__1024__0___0,29,254,254,254,265,254
13503__1024__0___0,1,16,16,16,11,10
13505__1024__0___0,14,90,90,90,89,91
13515__1024__0___0,1,5,5,5,7,8
13521__1024__0___0,26,236,236,236,215,237
13522__1024__0___0,5,75,75,75,82,65
13523__1024__0___0,2,12,12,12,7,6
13524__1024__0___0,1,16,16,16,16,16
13527__1024__0___0,72,331,331,331,348,337
13538__1024__0___0,4,51,51,51,52,53
13546__1024__0___0,4,37,37,37,41,42
13547__1024__0___0,18,103,103,103,101,102
13548__1024__0___0,94,368,368,368,377,388
13553__1024__0___0,8,150,150,150,143,140
13557__1024__0___0,3,57,57,57,50,60
13564__1024__0___0,5,23,23,23,24,26
13566__1024__0___0,15,74,74,74,80,80
13568__1024__0___0,26,336,336,336,314,357
1356__1024__0___0,5,98,98,98,90,101
13574__1024__0___0,82,341,341,341,331,329
1357__1024__0___0,14,310,310,310,283,301
13581__1024__0___0,2,15,15,15,13,15
13593__1024__0___0,8,138,138,138,132,133
13594__1024__0___0,24,321,321,321,326,313
13601__1024__0___0,50,241,241,241,236,255
13602__1024__0___0,3,33,33,33,31,33
1360__1024__0___0,0,MISSING,0,0,0,0
1360__1024__0___476,1,10,10,10,11,7
1360__1024__476___0,2,18,18,18,17,25
1360__1024__476___476,0,MISSING,9,9,2,5
13614__1024__0___0,1,5,5,5,5,5
13624__1024__0___0,10,21,21,21,23,21
13626__1024__0___0,17,199,199,199,193,207
13627__1024__0___0,4,56,56,56,53,53
13636__1024__0___0,4,62,62,62,65,71
13646__1024__0___0,40,372,372,372,360,383
13649__1024__0___0,7,94,94,94,86,81
1364__1024__0___0,6,70,70,70,77,74
13658__1024__0___0,54,314,314,314,297,284
13666__1024__0___0,9,114,114,114,94,100
1366__1024__0___0,2,31,31,31,26,26
13675__1024__0___0,3,36,36,36,38,31
13687__1024__0___0,27,217,217,217,233,213
13695__1024__0___0,19,326,326,326,322,316
13701__1024__0___0,11,73,73,73,71,69
13702__1024__0___0,3,33,33,33,39,40
13703__1024__0___0,196,542,542,542,545,556
13704__1024__0___0,3,56,56,56,47,51
13711__1024__0___0,6,96,96,96,116,100
13713__1024__0___0,1,9,9,9,8,8
13715__1024__0___0,6,94,94,94,88,83
13719__1024__0___0,2,20,20,20,22,20
13728__1024__0___0,5,106,106,106,113,120
1372__1024__0___0,3,15,15,15,19,17
1372__1024__0___476,1,13,13,13,13,11
1372__1024__476___0,0,MISSING,9,9,9,6
1372__1024__476___476,0,MISSING,0,0,0,0
13733__1024__0___0,18,287,287,287,306,318
13740__1024__0___0,25,312,312,312,332,302
13743__1024__0___0,124,407,407,407,394,397
13752__1024__0___0,3,55,55,55,55,54
13753__1024__0___0,1,23,23,23,22,22
13756__1024__0___0,15,114,114,114,112,114
13761__1024__0___0,15,118,118,118,127,132
13766__1024__0___0,1,17,17,17,16,17
13768__1024__0___0,70,300,300,300,300,301
13774__1024__0___0,1,20,20,20,27,17
13779__1024__0___0,10,71,71,71,83,79
13786__1024__0___0,2,23,23,23,19,21
13788__1024__0___0,5,57,57,57,47,48
13789__1024__0___0,4,49,49,49,48,53
13791__1024__0___0,78,340,340,340,330,338
13793__1024__0___0,1,5,5,5,8,5
13799__1024__0___0,1,13,13,13,15,11
