scenario_index,evaluation_unit,score,alpha_label,alpha,replicates,fit_nonempty_profile,calibration_nonempty_profile,split_fst_false_rejections,split_fst_empirical_fwer,split_fst_cp95_upper,split_fst_pass,holm_false_rejections,holm_empirical_fwer,holm_cp95_upper,holm_pass,seed,endpoint
98,F,tta_circular_consistency,absolute_0.005,0.005000,50000,319;585;837;1142;1450;1633;1745;1816;1869;1918;1947;1979;2011,280;507;763;1055;1336;1478;1592;1657;1727;1780;1827;1860;1886,22237,0.444740,0.448408,False,49990,0.999800,0.999891,False,20260805,geometry_normalized_severe
99,F,tta_circular_consistency,absolute_0.01,0.010000,50000,319;585;837;1142;1450;1633;1745;1816;1869;1918;1947;1979;2011,280;507;763;1055;1336;1478;1592;1657;1727;1780;1827;1860;1886,24418,0.488360,0.492047,False,49996,0.999920,0.999973,False,20260805,geometry_normalized_severe
100,F,tta_circular_consistency,relative_0.5_r_fit,0.001813,50000,319;585;837;1142;1450;1633;1745;1816;1869;1918;1947;1979;2011,280;507;763;1055;1336;1478;1592;1657;1727;1780;1827;1860;1886,22571,0.451420,0.455093,False,49989,0.999780,0.999877,False,20260805,geometry_normalized_severe
101,F,tta_circular_consistency,relative_0.25_r_fit,0.000907,50000,319;585;837;1142;1450;1633;1745;1816;1869;1918;1947;1979;2011,280;507;763;1055;1336;1478;1592;1657;1727;1780;1827;1860;1886,19111,0.382220,0.385809,False,49980,0.999600,0.999735,False,20260805,geometry_normalized_severe
102,F,source_supervised_leave_geometry,absolute_0.001,0.001000,50000,171;214;408;675;1039;1277;1472;1511;1528;1630;1788;1934;2011,165;200;369;598;899;1138;1324;1353;1367;1474;1643;1803;1886,16327,0.326540,0.330007,False,49944,0.998880,0.999114,False,20260805,geometry_normalized_severe
103,F,source_supervised_leave_geometry,absolute_0.0025,0.002500,50000,171;214;408;675;1039;1277;1472;1511;1528;1630;1788;1934;2011,165;200;369;598;899;1138;1324;1353;1367;1474;1643;1803;1886,20117,0.402340,0.405961,False,49985,0.999700,0.999815,False,20260805,geometry_normalized_severe
104,F,source_supervised_leave_geometry,absolute_0.005,0.005000,50000,171;214;408;675;1039;1277;1472;1511;1528;1630;1788;1934;2011,165;200;369;598;899;1138;1324;1353;1367;1474;1643;1803;1886,28148,0.562960,0.566616,False,49996,0.999920,0.999973,False,20260805,geometry_normalized_severe
105,F,source_supervised_leave_geometry,absolute_0.01,0.010000,50000,171;214;408;675;1039;1277;1472;1511;1528;1630;1788;1934;2011,165;200;369;598;899;1138;1324;1353;1367;1474;1643;1803;1886,26183,0.523660,0.527343,False,49995,0.999900,0.999961,False,20260805,geometry_normalized_severe
106,F,source_supervised_leave_geometry,relative_0.5_r_fit,0.001813,50000,171;214;408;675;1039;1277;1472;1511;1528;1630;1788;1934;2011,165;200;369;598;899;1138;1324;1353;1367;1474;1643;1803;1886,18075,0.361500,0.365050,False,49962,0.999240,0.999431,False,20260805,geometry_normalized_severe
107,F,source_supervised_leave_geometry,relative_0.25_r_fit,0.000907,50000,171;214;408;675;1039;1277;1472;1511;1528;1630;1788;1934;2011,165;200;369;598;899;1138;1324;1353;1367;1474;1643;1803;1886,16162,0.323240,0.326698,False,49868,0.997360,0.997726,False,20260805,geometry_normalized_severe
